Recipient,INST_TYPE_1,INST_TYPE_2,total_awards,grants,contracts,student_aid,Total_Federal_Investment
Brunswick Community College,Public, 2-year,0,0,0,2108122.5,2108122.5
Bryan College of Health Sciences,Private not-for-profit, 4-year or above,0,215546,0,6170372,6385918
Bryan College-Dayton,Private not-for-profit, 4-year or above,0,0,0,6297360.6,6297360.6
Bryant University,Private not-for-profit, 4-year or above,0,364793,0,27055715,27420508
Bryn Athyn College of the New Church,Private not-for-profit, 4-year or above,0,0,0,2616875.2,2616875.2
Bryn Mawr College,Private not-for-profit, 4-year or above,0,492584,0,9080876,9573460
Buckeye Hills Career Center,Public, less-than 2-year,0,48616,0,949613,998229
Buckeye Joint Vocational School,Public, less-than 2-year,0,0,0,267091.7,267091.7
Bucknell University,Private not-for-profit, 4-year or above,0,2502154.76,0,16470337,18972491.8
Bucks County Community College,Public, 2-year,705933.2,10000,705933.2,14049240,14765173.2
Buena Vista University,Private not-for-profit, 4-year or above,0,329633,0,19570357.5,19899990.5
Bunker Hill Community College,Public, 2-year,0,1154415.75,0,28449380.2,29603795.9
Butler Community College,Public, 2-year,0,78046.17,0,24677653,24755699.2
Butler County Community College,Public, 2-year,0,0,0,7725948.1,7725948.1
Butler Tech-D Russel Lee Career Center,Public, less-than 2-year,0,0,0,1613323.8,1613323.8
Butler University,Private not-for-profit, 4-year or above,0,1003070.3,0,42344599,43347669.3
Butte College,Public, 2-year,0,500699,0,21050595.6,21551294.6
Butte County Regional Occupational Program,Public, less-than 2-year,0,0,0,317771.4,317771.4
Byzantine Catholic Seminary of Saints Cyril and Methodius,Private not-for-profit, 4-year or above,0,0,0,34500,34500
CAAN Academy of Nursing,Private not-for-profit, 2-year,0,0,0,540487,540487
Cabrillo College,Public, 2-year,0,1781969,0,11203608.5,12985577.5
Cabrini University,Private not-for-profit, 4-year or above,0,145915,0,18993007.8,19138922.8
Caddo Kiowa Technology Center,Public, less-than 2-year,16575,0,16575,399177.6,415752.6
