"opeid","school","subsidized13","unsubsidized13","parent13","grad_plus13","grants13","perkins13","FSEOG13","FWS13","subsidized14","unsubsidized14","parent14","grad_plus14","grants14","perkins14","FSEOG14","FWS14","subsidized15","unsubsidized15","parent15","grad_plus15","grants15","perkins15","FSEOG15","FWS15","subsidized16","unsubsidized16","parent16","grad_plus16","grants16","perkins16","FSEOG16","FWS16","subsidized17","unsubsidized17","parent17","grad_plus17","grants17","perkins17","FSEOG17","FWS17"
"04149200","XCELL ACADEMY A PAUL MITCHELL SCHOOL",432372,624863,51782,0,466546,NA,NA,NA,540298,731694,32297,0,556310,NA,NA,NA,412037,570604,89739,0,410018.32,NA,NA,NA,366926,451296,111716,0,359267.55,NA,NA,NA,312024,404711,48933,0,385574.73,NA,NA,NA
"04187200","NEW BEGINNING COLLEGE OF COSMETOLOGY",288297,289485,0,0,457536,NA,NA,NA,240821,232466,0,0,520655,NA,NA,NA,243955,202024,0,0,369131,NA,NA,NA,161174,158858,0,0,331428.63,NA,NA,NA,162441,158494,0,0,320955.55,NA,NA,NA
"04197500","UNIVERSITY ACADEMY OF HAIR DESIGN",186543,196881,25545,0,312261,NA,NA,NA,153114,148639,0,0,172973,NA,NA,NA,146500,97833,0,0,157829,NA,NA,NA,117129,70360,0,0,132912.33,NA,NA,NA,125414,127516,18109,0,172180.37,NA,NA,NA
"00108500","UNIVERSITY OF ARKANSAS AT MONTICELLO",6592257,7236528,124373,0,9123790,184822,NA,120469,6041358,7244308,157963,0,8601483,197702,NA,119286,5353561,6721231,216605,0,7594317,211984,NA,140688,4858909,6789453,328434,0,7333031,257637,NA,165259,4827127,7541684,363032,0,7160533.17,NA,94651,227110
"00108600","UNIVERSITY OF ARKANSAS AT PINE BLUFF",7291048,7935494,1033779,0,9229759,169205,NA,387158,6328971,6693841,991053,0,8519178,301455,NA,394659,5917339,5946877,1061316,0,8302647.99,292920,NA,323482,6010896,5626057,1839454,0,9100638.37,248748,NA,384840,6297960,5964488,2049170,0,9085858.91,NA,413437,191618
"00108700","ARKANSAS BAPTIST COLLEGE",2621321,3778904,206769,0,2769368,50392,NA,63646,4398649,5414480,98453,0,5023439,43234,NA,56541,3961696,4498664,432203,0,4749085.58,54075,NA,52614,2782081,3316513,889707,0,3988329.33,224786,NA,302326,1916995,2399739,617599,0,2926257.3,NA,59950,55032
"00108800","LYON COLLEGE",1274701,1266150,354963,0,1215610,106721,76700,43903,1376294,1461595,458507,0,1218158,105461,134849,73159,1359614,1407220,670078,0,1300763,94431,115900,43967,1398934,1373437,827131,0,1193977,92080,78500,43967,1263647,1248746,809819,0,1096263,77500,41173,100760
"00108900","ARKANSAS TECH UNIVERSITY",15840265,19840340,687597,18100,19247180,309688,143347,248247,16944364,23475791,858941,12200,20853299,285422,134725,259597,16499089,24529428,1269790,33256,20824441,277578,184300,317246,16112328,23859085,2568187,41315,19568164.32,423161,200470,328887,14990153,22817417,3145994,98085,18979414,107000,322357,451423
"00109000","ARKANSAS STATE UNIVERSITY",23218361,49957231,1699492,2714163,27112712,508090,936043,341832,21687142,48128843,2347896,2474483,25185504,510946,1137384,300776,18838353,60806285,3088999,2536041,23987939,444478,1073043,313589,17837447,63030886,4104837,2541355,21633123,448930,454480,310041,17625748,66904752,4523862,2586259,19760729,118950,320415,493977
"00109100","ARKANSAS STATE UNIVERSITY - BEEBE",1672600,1422560,875,0,5689734,76554,NA,79305,1358182,1183215,6953,0,5451063,78981,NA,119990,1297636,1042287,7919,0,5345897,85445,NA,132709,1265109,1093604,23187,0,5443385.98,103568,NA,150523,1480598,1459966,12375,0,4836151.48,NA,124347,111768
"00109200","UNIVERSITY OF CENTRAL ARKANSAS",15034096,29918988,3702518,451842,16975036,610108,604848,232333,15241872,31038392,4216813,299605,17548087,635095,2296927,218959,15724527,30903644,5861086,791521,18132018.39,634118,1194424,235476,15635710,29938350,8153849,925979,17279550.8,705667,802432,256096,15127024,29082329,8341413,1000480,16897172.46,723152,270379,678759
"00109300","CENTRAL BAPTIST COLLEGE",1666971,1913706,284930,0,1615794,37138,NA,28464,1743266,2131642,381706,0,1660339,29237,NA,30918,1828697,2452266,948973,0,1691137.03,40504,NA,41920,1634943,1989826,710988,0,1418289.14,30258,NA,46750,1741928,2128472,1235439,0,1554558.91,NA,45629,27800
"00109400","UNIVERSITY OF THE OZARKS",970660,906056,303601,0,1068984,106965,700,44266,662262,562766,203870,0,723177,139588,NA,58608,868175,581342,361050,0,1099054.88,99696,NA,49857,967918,661676,242550,0,865626.33,285398,NA,54953,1277048,895298,281361,0,1695655.17,NA,48267,294761
"00109500","CROWLEY'S RIDGE COLLEGE",272410,302649,123756,0,369558,12222,NA,7771,389622,396915,133803,0,403562,12222,NA,7030,431478,469058,145941,0,478475.86,12236,NA,6205,545307,596660,235138,0,467630,16296,NA,8571,585954,591816,281082,0,528582,NA,9234,15691
"00109700","HARDING UNIVERSITY",8751799,30288809,5503687,4489255,5547547,320858,719767,116000,8791568,28227246,6170130,4645884,5559651,510497,704319,143000,8237926,27413584,6840706,4857371,5232987,570568,1135401,187334,8174904,27302573,8400283,5105174,5591103.68,549423,2003250,162334,7747448,26953266,9353033,5615739,5247536,1775755,159667,549070
"00109800","HENDERSON STATE UNIVERSITY",6603061,10627921,512232,0,7685044,234243,94915,110901,6553144,10384061,574578,27082,7862442,234243,216938,108300,6299025,10080064,856462,50740,7599018.94,238534,177877,116878,5989809,10423940,1397553,114022,7237633.46,264029,19494,118638,4807678,9498359,1586217,107337,6472106.32,81684,123511,235085
"00109900","HENDRIX COLLEGE",1804673,2150071,2392869,8199,1081926,220799,146000,157188,1957335,2434994,2428077,10774,1068238,301204,176500,139528,1882381,2472266,2363529,12885,1100714,283552,116750,147989,1882092,2365783,2438158,5885,1228739,279437,151666,161599,2055503,2346588,2445429,11779,1443558,143858,144285,273373
"00110000","JOHN BROWN UNIVERSITY",4046627,8464130,1357751,73375,2659699,197271,298785,128300,4269517,10484942,1612206,47346,2868073,201958,220475,81300,3860931,10543611,1784662,36572,2597747.15,197433,253504,116048,3435219,10769693,1918867,26434,2423239.34,225489,282771,135194,3325427,10269259,2105246,91949,2399877.98,290571,126516,197982
