"institution","state","type","undergrad_students","grad_students","non-research_grants","research_grants","contracts","subsidized_student_loans","unsubsidized_student_loan","parent_plus","grad_plus","pell_teach_service_grants","perkins_loans_AY17","fseog_AY17","federal_work_study_AY17"
"Mount Vernon Nazarene University","OH","Private not-for-profit, 4-year or above","1768","343",449561,0,0,3953371,6176359,2144848,0,2880593.91,NA,NA,NA
"Mount Wachusett Community College","MA","Public, 2-year","4336","NULL",4031113.53,0,0,2524221,2668342,39388,0,6654771.96,NA,NA,NA
"Mountain Empire Community College","VA","Public, 2-year","2718","NULL",654591,0,0,NA,NA,NA,NA,4706904.2,NA,NA,NA
"Mountain View College","TX","Public, 2-year","8950","NULL",447392.17,0,0,1896810,1890224,0,0,9307317.44,NA,NA,NA
"Mountainland Applied Technology College","UT","Public, 2-year","3373","NULL",0,0,0,NA,NA,NA,NA,763511,NA,NA,NA
"Mountwest Community and Technical College","WV","Public, 2-year","2026","NULL",296916.68,0,0,1301326,1072238,0,0,3505064.28,NA,NA,NA
"Mt Hood Community College","OR","Public, 2-year","9276","NULL",9970959.7,224983,0,2950474,3947894,30557,0,9177840,NA,NA,NA
"Mt San Antonio College","CA","Public, 2-year","29044","NULL",1619532,0,0,696960,382209,70635,0,38067194.05,NA,NA,NA
"Muhlenberg College","PA","Private not-for-profit, 4-year or above","2440","NULL",0,107972,0,3808298,3598339,4792752,0,1651831,NA,NA,NA
"Multnomah University","OR","Private not-for-profit, 4-year or above","418","330",0,0,0,991170,2690766,724577,14520,828249.5,NA,NA,NA
"Murray State College","OK","Public, 2-year","2298","NULL",639068.53,0,0,1906944,2380048,331686,0,3808709,NA,NA,NA
"Murray State University","KY","Public, 4-year or above","9444","1730",4582055,764145,-27136.99,12121027,22114279,5830387,1776641,11638503,NA,NA,NA
"Muskegon Community College","MI","Public, 2-year","4640","NULL",287045,0,0,1225504,1024361,19811,0,5116410.78,NA,185942,307505
"Muskingum University","OH","Private not-for-profit, 4-year or above","1724","744",0,0,0,3893530,5750337,3357762,154844,3267851.61,NA,NA,NA
"Napa Valley College","CA","Public, 2-year","6356","NULL",1215957,0,7933.33,210791,262960,0,0,4492336.23,NA,NA,NA
"Nash Community College","NC","Public, 2-year","3502","NULL",-198982.58,0,0,1194311,1362813,0,0,4732003.15,NA,NA,NA
"Nashotah House","WI","Private not-for-profit, 4-year or above","NULL","96",0,0,0,0,149485,0,0,NA,NA,NA,NA
"Nashua Community College","NH","Public, 2-year","2185","NULL",-104694.9,0,0,1720892,1607321,38815,0,1935766.12,NA,NA,NA
"Nashville State Community College","TN","Public, 2-year","10044","NULL",0,0,0,4268076,5082463,36321,0,14266763.94,NA,NA,NA
"Nassau Community College","NY","Public, 2-year","22374","NULL",1318781,0,0,6337359,9222190,62968,0,30653607.22,NA,NA,NA
"National Conservatory of Dramatic Arts","DC","Private not-for-profit, 2-year","39","NULL",0,0,0,51250,45000,0,0,45197,NA,NA,NA
"National Louis University","IL","Private not-for-profit, 4-year or above","1341","3078",806589.12,0,0,4316602,25362906,198754,1033235,6134693.62,172775,110151,380106
"National Park College","AR","Public, 2-year","3001","NULL",880993.66,0,0,2309438,1997961,0,0,6781449,NA,NA,NA
"National University","CA","Private not-for-profit, 4-year or above","9721","8638",451205,249978,18000,16018696,124790319,1181458,9095167,15844061.8,NA,NA,NA
"National University of Health Sciences","IL","Private not-for-profit, 4-year or above","97","566",0,0,0,189607,21333935,40883,3827234,126115,NA,NA,NA
"National University of Natural Medicine","OR","Private not-for-profit, 4-year or above","NULL","631",628518,0,0,110396,14137322,40445,10392690,73308.47,NA,NA,NA
"Naugatuck Valley Community College","CT","Public, 2-year","7102","NULL",1136833,0,0,245480,575328,0,0,10201281.68,NA,NA,NA
"Navajo Technical University","NM","Public, 4-year or above","2070","5",16417365,4533205.84,0,NA,NA,NA,NA,5055410.06,NA,NA,NA
"Navarro College","TX","Public, 2-year","9999","NULL",16797,0,0,5914526,7543092,206125,0,13381877.6,NA,NA,NA
"Nazarene Bible College","CO","Private not-for-profit, 4-year or above","760","NULL",0,0,0,945314,1238037,15425,0,789788.41,NA,NA,NA
"Nazarene Theological Seminary","MO","Private not-for-profit, 4-year or above","NULL","269",0,0,0,0,622401,0,0,NA,NA,NA,NA
"Nazareth College","NY","Private not-for-profit, 4-year or above","2057","763",234365,85308,0,6368013,13346175,7780239,2688948,2974313,NA,NA,NA
"Nebraska Indian Community College","NE","Public, 2-year","120","NULL",2681227,125000,0,NA,NA,NA,NA,289274,NA,NA,NA
"Nebraska Methodist College of Nursing & Allied Health","NE","Private not-for-profit, 4-year or above","747","226",711705,0,0,2416196,6345591,1163331,357223,1312740,NA,NA,NA
"Nebraska Wesleyan University","NE","Private not-for-profit, 4-year or above","1832","238",0,0,0,4486003,5518878,3574434,0,2549437.35,NA,NA,NA
"Neighborhood Playhouse School of the Theater","NY","Private not-for-profit, 2-year","80","NULL",0,0,0,109902,214848,195041,0,103487,NA,NA,NA
"Neosho County Community College","KS","Public, 2-year","2212","NULL",969630,0,0,1120148,1069320,27879,0,2272307,NA,NA,NA
"Ner Israel Rabbinical College","MD","Private not-for-profit, 4-year or above","305","215",0,0,0,NA,NA,NA,NA,367806,NA,NA,NA
"Neumann University","PA","Private not-for-profit, 4-year or above","2562","498",638317,0,0,5304677,10239591,5789930,710331,3505351.44,NA,NA,NA
"Nevada Regional Technical Center","MO","Public, less-than 2-year","17","NULL",0,0,0,23721,87616,0,0,125239,NA,NA,NA
"Nevada State College","NV","Public, 4-year or above","3555","NULL",1553466,351431,0,5153275,6414638,101944,0,6519564,NA,NA,NA
"New Brunswick Theological Seminary","NJ","Private not-for-profit, 4-year or above","NULL","136",0,0,0,0,1189168,0,0,NA,NA,NA,NA
"New College of Florida","FL","Public, 4-year or above","834","NULL",294198,134379,0,790524,964767,506315,0,1155856,NA,NA,NA
"New England College","NH","Private not-for-profit, 4-year or above","1697","624",446983,0,0,5521170,10973840,6078701,81802,4639356,590257,272864,178139
"New England College of Optometry","MA","Private not-for-profit, 4-year or above","NULL","511",26807,961953,0,0,9763991,0,2510264,NA,NA,NA,NA
"New England Institute of Technology","RI","Private not-for-profit, 4-year or above","2841","106",0,0,0,8867194,11581760,5521977,36201,7300848,NA,NA,NA
"New England Law-Boston","MA","Private not-for-profit, 4-year or above","NULL","688",0,0,0,0,7617328,0,9787650,NA,NA,NA,NA
"New Hampshire Institute of Art","NH","Private not-for-profit, 4-year or above","445","72",0,0,0,749671,850231,1110345,1340,469983,NA,NA,NA
"New Hope Christian College-Eugene","OR","Private not-for-profit, 4-year or above","155","NULL",0,0,0,184523,196897,48221,0,235055.4,NA,NA,NA
"New Jersey City University","NJ","Public, 4-year or above","6229","1920",2118215.78,134790,0,11114354,20466354,1966444,217565,17499236.85,NA,NA,NA
"New Jersey Institute of Technology","NJ","Public, 4-year or above","7550","3317",3380547.2,19416128.8,14921104.08,15304482,21565020,5808323,978423,15409609.88,NA,NA,NA
"New Mexico Highlands University","NM","Public, 4-year or above","2275","1266",1997047.86,685975,0,2284800,8589802,70647,33139,4560147.66,NA,NA,NA
"New Mexico Institute of Mining and Technology","NM","Public, 4-year or above","1633","533",25685436.78,12960270.46,230787.02,1523926,2046240,156683,3000,2091528.76,NA,NA,NA
"New Mexico Junior College","NM","Public, 2-year","3332","NULL",64667.31,0,0,352895,367836,1950,0,3056872,NA,NA,NA
"New Mexico Military Institute","NM","Public, 2-year","459","NULL",0,0,30388,160430,203954,120395,0,636490,NA,NA,NA
"New Mexico State University-Main Campus","NM","Public, 4-year or above","12784","2964",16259038.44,25950179.52,14740187.03,20220404,26970223,1478163,117150,40958103.86,NA,NA,NA
"New River Community College","VA","Public, 2-year","4585","NULL",0,0,0,1198651,1252576,82490,0,2523961.75,NA,NA,NA
"New York Academy of Art","NY","Private not-for-profit, 4-year or above","NULL","119",0,0,0,0,1114190,0,1899311,NA,NA,NA,NA
"New York Chiropractic College","NY","Private not-for-profit, 4-year or above","NULL","942",0,0,0,0,20949596,0,1941003,NA,NA,NA,NA
"New York College of Health Professions","NY","Private not-for-profit, 4-year or above","519","186",0,0,0,1187145,2053436,7119,20222,1238484.25,NA,NA,NA
"New York College of Podiatric Medicine","NY","Private not-for-profit, 4-year or above","NULL","389",0,0,0,0,7391760,0,1395552,NA,NA,NA,NA
"New York College of Traditional Chinese Medicine","NY","Private not-for-profit, 4-year or above","NULL","115",0,0,0,136935,804929,0,66834,NA,NA,NA,NA
"New York Institute of Technology","NY","Private not-for-profit, 4-year or above","4291","4015",828748,3179098,849613.74,6910736,65186051,13773748,35802489,6386729.01,NA,NA,NA
"New York Law School","NY","Private not-for-profit, 4-year or above","NULL","931",0,0,14680,0,12754892,0,16209349,NA,NA,NA,NA
"New York Medical College","NY","Private not-for-profit, 4-year or above","NULL","1426",678008,9840349,235638.98,0,26634366,0,18430347,NA,NA,NA,NA
"New York Methodist Hospital Center for Allied Health Education","NY","Private not-for-profit, 2-year","287","NULL",0,0,0,691552,1060761,614718,0,724152.49,NA,NA,NA
"New York University","NY","Private not-for-profit, 4-year or above","24985","24305",68903429.04,338551010.52,11596351.04,33293616,207147791,154822245,257800815,27540446.44,6660545,4826156,7553690
"Newberry College","SC","Private not-for-profit, 4-year or above","1093","NULL",0,0,0,2968440,3128856,2941147,0,2752706.5,NA,NA,NA
"Newbury College","MA","Private not-for-profit, 4-year or above","874","NULL",0,0,0,1955495,1486519,2316827,0,1654121,3000,182659,150953
"Newman University","KS","Private not-for-profit, 4-year or above","2732","841",0,0,0,2262227,6028260,1032504,1472062,2193840,NA,NA,NA
"NHTI-Concord's Community College","NH","Public, 2-year","4282","NULL",0,0,0,3112295,3636647,456879,0,4306832,NA,NA,NA
"Niagara County Community College","NY","Public, 2-year","6478","NULL",201633,0,0,2960664,4863036,256241,0,8768987,NA,NA,NA
"Niagara University","NY","Private not-for-profit, 4-year or above","3176","914",0,0,0,6417691,12390910,4433144,453910,3748740.63,NA,NA,NA
"Nicholls State University","LA","Public, 4-year or above","5690","669",252181,0,0,9078599,14350199,2797892,2102,10387082.08,NA,NA,NA
"Nichols College","MA","Private not-for-profit, 4-year or above","1315","187",0,0,0,3478419,4671606,5455547,6340,1785360.14,NA,NA,NA
"Nicolet Area Technical College","WI","Public, 2-year","1139","NULL",-6296.38,0,22340.4,741745,376699,0,0,1756613,NA,NA,NA
"Norco College","CA","Public, 2-year","9304","NULL",3178851.37,595695,0,327854,358284,0,0,9444834.89,NA,NA,NA
"Norfolk State University","VA","Public, 4-year or above","5356","585",8897854.07,8512230.26,0,13397518,22007599,10579717,392523,15130909.42,NA,NA,NA
"Normandale Community College","MN","Public, 2-year","9539","NULL",836538.27,0,0,6197584,7927786,75541,0,12162386,NA,NA,NA
"North American University","TX","Private not-for-profit, 4-year or above","422","181",0,0,0,216238,388476,19679,0,481075.61,NA,NA,NA
"North Arkansas College","AR","Public, 2-year","1976","NULL",1869529.18,0,0,710937,536252,0,0,3377443.88,NA,NA,NA
"North Bennet Street School","MA","Private not-for-profit, 2-year","165","NULL",0,0,0,179568,307177,286734,0,100672.5,NA,NA,NA
"North Carolina A & T State University","NC","Public, 4-year or above","9203","1499",17424399.96,18624801.32,983725,28586854,37622912,25412559,644256,30302568.52,NA,NA,NA
"North Carolina Central University","NC","Public, 4-year or above","5917","1843",11786268,15146462,0,18572064,44134237,18621670,13613717,21830394.45,NA,NA,NA
"North Carolina State University at Raleigh","NC","Public, 4-year or above","24473","9904",58643659.1,126545567.04,1922208.15,30608992,71340377,16431516,3852269,24175705.12,NA,NA,NA
"North Carolina Wesleyan College","NC","Private not-for-profit, 4-year or above","1872","NULL",424197,0,0,5087537,5844105,2460289,0,5455482.39,84586,110694,166300
"North Central College","IL","Private not-for-profit, 4-year or above","2782","229",0,0,0,6794252,6631302,6803251,130703,3142426,NA,NA,NA
"North Central Kansas Technical College","KS","Public, 2-year","814","NULL",0,0,0,966857,1331434,884719,0,1372272.14,NA,NA,NA
"North Central Michigan College","MI","Public, 2-year","2581","NULL",0,0,0,661863,617929,131177,0,2665945,NA,NA,NA
"North Central Missouri College","MO","Public, 2-year","1746","NULL",2753831,0,0,1314381,1412081,17880,0,2856337.4,NA,NA,NA
"North Central State College","OH","Public, 2-year","2937","NULL",911551.7,222833,0,1136036,836260,15340,0,3209261.79,NA,100101,65260
"North Dakota State College of Science","ND","Public, 2-year","3033","NULL",-7111.44,0,0,2883979,4587007,432027,0,3211014.08,NA,NA,NA
"North Dakota State University-Main Campus","ND","Public, 4-year or above","12124","2479",16132764.3,14899586.03,25558.86,18169827,33862450,2789727,46598,10381486,NA,NA,NA
"North Florida Community College","FL","Public, 2-year","1289","NULL",295820,0,0,NA,NA,NA,NA,2145609.66,NA,NA,NA
"North Georgia Technical College","GA","Public, 2-year","2663","NULL",0,0,0,NA,NA,NA,NA,6105685.34,NA,NA,NA
"North Greenville University","SC","Private not-for-profit, 4-year or above","2359","211",0,0,0,4224511,6608851,2831207,1684307,4730383,NA,NA,NA
"North Hennepin Community College","MN","Public, 2-year","7384","NULL",950612,0,0,4850221,6581932,28298,0,8298550,NA,NA,NA
"North Idaho College","ID","Public, 2-year","5768","NULL",3479122.4,0,0,3600966,1909728,99428,0,6197215.91,NA,NA,NA
"North Iowa Area Community College","IA","Public, 2-year","2950","NULL",900667,0,0,2148062,1654404,202200,0,2888512,NA,NA,NA
"North Lake College","TX","Public, 2-year","10744","NULL",342472,0,0,2289368,2712867,0,0,7923228.62,NA,NA,NA
"North Park University","IL","Private not-for-profit, 4-year or above","2205","1008",0,0,0,5398935,9113319,4139902,19353,4034019.78,NA,NA,NA
"North Seattle College","WA","Public, 4-year or above","6493","NULL",437161,0,0,906854,1049756,0,0,2790532.28,NA,193585,153714
"North Shore Community College","MA","Public, 2-year","7412","NULL",1222211.31,0,0,3632251,2544955,64005,0,10035295.4,NA,NA,NA
"Northampton County Area Community College","PA","Public, 2-year","10531","NULL",463782,0,0,7886093,10890346,1752718,0,16846209.84,NA,NA,NA
"Northcentral Technical College","WI","Public, 2-year","4372","NULL",-49186.26,0,0,3583627,1953874,24841,0,5281117.52,NA,115669,203142
"Northeast Community College","NE","Public, 2-year","5061","NULL",0,0,0,2705625,3310385,451648,0,4784245,NA,78794,63294
"Northeast Iowa Community College","IA","Public, 2-year","4934","NULL",254356,0,0,2921368,3657216,39635,0,4287480,NA,NA,NA
"Northeast Mississippi Community College","MS","Public, 2-year","3538","NULL",0,0,0,1955516,1891858,0,0,9086696.9,NA,NA,NA
"Northeast Ohio Medical University","OH","Public, 4-year or above","NULL","922",2737903,9446567,171213.5,0,22795383,0,8009475,NA,NA,NA,NA
"Northeast State Community College","TN","Public, 2-year","5838","NULL",484195.12,0,0,NA,NA,NA,NA,11181843.03,NA,NA,NA
"Northeast Technology Center-System Office","OK","Administrative Unit",NA,NA,0,0,0,NA,NA,NA,NA,625379,NA,NA,NA
"Northeast Texas Community College","TX","Public, 2-year","3186","NULL",1821511,0,0,1333085,2017412,0,0,5731071.85,NA,NA,NA
"Northeast Wisconsin Technical College","WI","Public, 2-year","10406","NULL",-23647.79,311689,0,7698536,9523582,34262,0,10130829,NA,278096,187374
"Northeastern Illinois University","IL","Public, 4-year or above","8412","1796",10752622,3140127,0,8528499,11301178,1250316,1352,14486892.12,NA,NA,NA
"Northeastern Junior College","CO","Public, 2-year","1776","NULL",714085,0,0,1331005,1377415,325185,0,1978158,NA,NA,NA
"Northeastern Oklahoma A&M College","OK","Public, 2-year","2274","NULL",1202815,0,0,2435166,2676963,222025,0,4656344,NA,NA,NA
"Northeastern State University","OK","Public, 4-year or above","7094","1231",897889.88,-9447,0,9203735,20216846,1690158,438095,14197677.7,232781,318865,377053
"Northeastern Technical College","SC","Public, 2-year","1090","NULL",1878318,0,136144.32,NA,NA,NA,NA,2508550.04,NA,NA,NA
"Northeastern University","MA","Private not-for-profit, 4-year or above","13510","6243",15518348.66,88948094.38,2603207.97,24474396,87234593,14657655,17629806,13671533,NA,NA,NA
"Northern Arizona University","AZ","Public, 4-year or above","23328","3906",23080977.02,23074678.9,4427579.2,40868777,74272322,46414958,7335736,44878482.91,NA,NA,NA
"Northern Baptist Theological Seminary","IL","Private not-for-profit, 4-year or above","NULL","187",0,0,0,0,543109,0,43734,NA,NA,NA,NA
"Northern Essex Community College","MA","Public, 2-year","6963","NULL",402782,0,0,2949213,2653074,107800,0,9854060.92,NA,NA,NA
"Northern Illinois University","IL","Public, 4-year or above","15435","5103",3984935.08,4655113.93,0,33344734,51274767,15542864,3730110,25837836,NA,NA,NA
"Northern Kentucky University","KY","Public, 4-year or above","12809","2168",1639445,1632317.56,0,17852373,41078966,7924093,6928200,15300046,NA,NA,NA
"Northern Maine Community College","ME","Public, 2-year","1079","NULL",272489,0,0,674576,702265,67077,0,1828460,NA,NA,NA
"Northern Marianas College","MP","Public, 4-year or above","1186","NULL",652863,0,0,NA,NA,NA,NA,4384338.12,NA,NA,NA
"Northern Michigan University","MI","Public, 4-year or above","8001","796",687437,749630,12000,13289941,15638543,6173427,28439,10612284.16,NA,NA,NA
"Northern New Mexico College","NM","Public, 4-year or above","1349","NULL",1670622.01,-420377,0,305044,176219,4295,0,2657149.96,NA,NA,NA
"Northern Oklahoma College","OK","Public, 2-year","4766","NULL",661940,0,0,2741315,2904421,705442,0,6442810.42,NA,NA,NA
