"institution","state","type","undergrad_students","grad_students","non-research_grants","research_grants","contracts","subsidized_student_loans","unsubsidized_student_loan","parent_plus","grad_plus","pell_teach_service_grants","perkins_loans_AY17","fseog_AY17","federal_work_study_AY17"
"Great Bay Community College","NH","Public, 2-year","2221","NULL",0,0,0,2604519,3015806,79058,0,1885499,NA,NA,NA
"Great Falls College Montana State University","MT","Public, 2-year","1772","NULL",-460918.86,0,0,1865169,2415374,0,0,2991192,NA,NA,NA
"Great Lakes Christian College","MI","Private not-for-profit, 4-year or above","160","NULL",0,0,0,328670,304241,169070,0,483984,NA,NA,NA
"Great Oaks Career Campuses","OH","Public, less-than 2-year","363","NULL",0,0,42791.08,360653,621397,154158,0,517981.65,NA,NA,NA
"Great Plains Technology Center","OK","Public, 2-year","346","NULL",0,0,0,NA,NA,NA,NA,538349.31,NA,NA,NA
"Greater Altoona Career & Technology Center","PA","Public, less-than 2-year","339","NULL",0,0,97500,466099,610966,63730,0,804152,NA,NA,NA
"Greater Johnstown Career and Technology Center","PA","Public, less-than 2-year","224","NULL",0,0,0,466323,581622,154495,0,613977,NA,NA,NA
"Green Country Technology Center","OK","Public, less-than 2-year","319","NULL",0,0,0,NA,NA,NA,NA,196288.42,NA,NA,NA
"Green Mountain College","VT","Private not-for-profit, 4-year or above","573","268",0,0,0,1242273,2583324,717766,35500,998709,NA,NA,NA
"Green River College","WA","Public, 4-year or above","7915","NULL",139760,595536,-13035,2427600,3217082,58063,0,8106373.63,NA,291219,292324
"Greene County Career and Technology Center","PA","Public, less-than 2-year","32","NULL",0,0,0,60625,212157,90915,0,90133,NA,NA,NA
"Greene County Vocational School District","OH","Public, less-than 2-year","52","NULL",0,0,0,33859,91350,0,0,76718,NA,NA,NA
"Greenfield Community College","MA","Public, 2-year","2127","NULL",402727,0,0,522484,620055,22307,0,2333099.1,NA,NA,NA
"Greensboro College","NC","Private not-for-profit, 4-year or above","879","50",400430,0,0,2334692,2430088,2279321,0,1836324,NA,NA,NA
"Greenville College","IL","Private not-for-profit, 4-year or above","1103","244",1143468,0,0,2700733,3978302,2415231,15072,1917310,NA,NA,NA
"Greenville Technical College","SC","Public, 2-year","12592","NULL",719318,0,0,7039509,9994942,624819,0,17804688.94,NA,NA,NA
"Grinnell College","IA","Private not-for-profit, 4-year or above","1734","NULL",0,47482,0,2092073,1061312,873286,0,1528154,NA,NA,NA
"Grossmont College","CA","Public, 2-year","18032","NULL",524978,0,0,1145832,746354,0,0,19964056.28,NA,NA,NA
"Guilford College","NC","Private not-for-profit, 4-year or above","2137","NULL",0,0,0,3141817,3115495,2913009,0,2805185.1,NA,NA,NA
"Guilford Technical Community College","NC","Public, 2-year","12363","NULL",598226,0,0,10605133,13928485,164100,0,22745572.71,NA,NA,NA
"Gulf Coast State College","FL","Public, 4-year or above","5926","NULL",1089063,0,7568.55,1327365,1243054,50201,0,6907497.57,NA,NA,NA
"Gupton Jones College of Funeral Service","GA","Private not-for-profit, 2-year","162","NULL",0,0,0,456377,715356,65957,0,602487,NA,NA,NA
"Gustavus Adolphus College","MN","Private not-for-profit, 4-year or above","2457","NULL",0,554176.98,0,5049919,4302555,2618222,0,2638786,NA,NA,NA
"Gwinnett Technical College","GA","Public, 2-year","7234","NULL",0,0,0,7343600,9307534,0,0,13642154.3,NA,NA,NA
"Gwynedd Mercy University","PA","Private not-for-profit, 4-year or above","1983","582",0,0,0,5938651,13314738,3807165,526908,3073702.14,NA,NA,NA
"H Councill Trenholm State Community College","AL","Public, 2-year","1338","NULL",2121735,0,0,NA,NA,NA,NA,4886689.79,NA,NA,NA
"Hacienda La Puente Adult Education","CA","Public, 2-year","4804","NULL",3811268,0,0,NA,NA,NA,NA,778265,NA,NA,NA
"Hagerstown Community College","MD","Public, 2-year","4615","NULL",569238,0,0,3423817,3082054,75448,0,5849356.37,NA,NA,NA
"Halifax Community College","NC","Public, 2-year","1293","NULL",3125556,0,0,NA,NA,NA,NA,1466658.77,NA,33000,35938
"Hallmark University","TX","Private not-for-profit, 4-year or above","1189","5",0,0,0,2529110,2845870,394708,0,3364283,84283,91450,4814
"Hamilton College","NY","Private not-for-profit, 4-year or above","1904","NULL",0,-63318.28,25000,2557718,981410,3520378,0,1532137.5,NA,NA,NA
"Hamline University","MN","Private not-for-profit, 4-year or above","2242","2029",299499,334140,125,5672876,14986905,5650882,776189,3706611,NA,NA,NA
"Hampden-Sydney College","VA","Private not-for-profit, 4-year or above","1105","NULL",0,45523,0,1920060,1839239,3441133,0,773540,NA,NA,NA
"Hampshire College","MA","Private not-for-profit, 4-year or above","1376","NULL",0,236529,0,3462460,2319531,3131954,0,1979097,NA,NA,NA
"Hampton University","VA","Private not-for-profit, 4-year or above","3503","850",8859808,10427627,3140100,8322263,19294330,40550606,6819492,5588591.99,NA,NA,NA
"Hannah E Mullins School of Practical Nursing","OH","Public, less-than 2-year","84","NULL",0,0,0,172616,311604,34207,0,447643.55,NA,NA,NA
"Hannibal-LaGrange University","MO","Private not-for-profit, 4-year or above","1115","64",0,0,0,1617609,2332254,1098876,0,1506394,NA,NA,NA
"Harcum College","PA","Private not-for-profit, 2-year","1588","NULL",743159,0,0,3376823,4383785,2131543,0,4453189,NA,NA,NA
"Harding University","AR","Private not-for-profit, 4-year or above","4485","1559",435358,254243,0,7096760,25724801,9933467,6137975,4551109.25,NA,NA,NA
"Harford Community College","MD","Public, 2-year","6714","NULL",292663,466488,0,1606661,2442992,94647,0,5489409.39,NA,NA,NA
"Harris-Stowe State University","MO","Public, 4-year or above","1280","NULL",4734714,0,0,3722480,3809731,943725,0,6084524.82,NA,NA,NA
"Harrisburg Area Community College-Harrisburg","PA","Public, 2-year","20230","NULL",0,0,38174.66,13678368,16752766,244503,0,14533104,NA,NA,NA
"Harrisburg University of Science and Technology","PA","Private not-for-profit, 4-year or above","313","1665",0,0,0,1014214,1394937,343204,59374,1165622,NA,NA,NA
"Hartford Seminary","CT","Private not-for-profit, 4-year or above","NULL","128",0,0,0,0,512034,0,0,NA,NA,NA,NA
"Hartnell College","CA","Public, 2-year","9805","NULL",3447418.44,1468758,0,NA,NA,NA,NA,10516394.88,NA,NA,NA
"Hartwick College","NY","Private not-for-profit, 4-year or above","1540","NULL",0,0,11700,2860248,2707885,5925227,0,1943300.62,NA,NA,NA
"Harvard University","MA","Private not-for-profit, 4-year or above","10338","19397",131401922.19,845188686.43,70896995.17,1229102,67364725,3828159,55150632,5583060,7283204,2951812,3319437
"Harvey Mudd College","CA","Private not-for-profit, 4-year or above","804","NULL",899589,1325834,0,998084,980414,1744598,0,452202,NA,NA,NA
"Hastings College","NE","Private not-for-profit, 4-year or above","1183","41",0,0,0,2307390,2313137,2233142,0,1425808,NA,NA,NA
"Haverford College","PA","Private not-for-profit, 4-year or above","1194","NULL",0,367471.58,2158035,665804,603928,1496757,0,1011633,NA,NA,NA
"Hawaii Community College","HI","Public, 2-year","3186","NULL",388280,0,0,563215,629780,18000,0,3998957.5,NA,NA,NA
"Hawaii Pacific University","HI","Private not-for-profit, 4-year or above","4835","788",65329,518797,0,4137415,7025746,6346728,817346,3502531.66,NA,NA,NA
"Hawkeye Community College","IA","Public, 2-year","5291","NULL",826856.9,0,0,5203423,6367872,384934,0,5780297.61,NA,NA,NA
"Haywood Community College","NC","Public, 2-year","2069","NULL",0,0,0,NA,NA,NA,NA,2293449.37,NA,NA,NA
"Hazard Community and Technical College","KY","Public, 2-year","3463","NULL",614377,0,0,1517800,1243417,0,0,5712733,NA,NA,NA
"Hazelden Betty Ford Graduate School of Addiction Studies","MN","Private not-for-profit, 4-year or above","1","137",337327,0,924269.51,0,3137099,0,425380,NA,NA,NA,NA
"Hazleton Area Career Center","PA","Public, less-than 2-year","25","NULL",0,0,0,21800,26750,17000,0,62366,NA,NA,NA
"Heartland Community College","IL","Public, 2-year","5286","NULL",254355,0,0,1717693,1903108,106465,0,4668522,NA,NA,NA
"Hebrew College","MA","Private not-for-profit, 4-year or above","2","171",0,0,0,8708,684083,0,108602,3701.5,NA,NA,NA
"Hebrew Theological College","IL","Private not-for-profit, 4-year or above","419","3",0,0,0,67460,42049,69147,0,204451,NA,NA,NA
"Hebrew Union College-Jewish Institute of Religion","NY","Private not-for-profit, 4-year or above","NULL","326",0,0,0,0,1946347,0,774694,NA,NA,NA,NA
