"agency","subagency","institution","contracts","grants"
"Department of Defense","Defense Advanced Research Projects Agency","Vanderbilt University",3226479,8631944
"Department of Defense","Defense Advanced Research Projects Agency","Virginia Polytechnic Institute and State University",3588757,NA
"Department of Defense","Defense Advanced Research Projects Agency","Wake Forest University",3152915,NA
"Department of Defense","Defense Advanced Research Projects Agency","Yale University",6461254,NA
"Department of Defense","Defense Contract Audit Agency","Harvard University",251440,NA
"Department of Defense","Defense Contract Audit Agency","Northwestern University",156500,NA
"Department of Defense","Defense Contract Audit Agency","Pennsylvania State University",150500,NA
"Department of Defense","Defense Contract Audit Agency","University of North Carolina at Chapel Hill",118500,NA
"Department of Defense","Defense Contract Audit Agency","University of Pennsylvania",162500,NA
"Department of Defense","Defense Contract Audit Agency","University of Virginia",140744.39,NA
"Department of Defense","Defense Health Agency","Johns Hopkins University",59332.8,NA
"Department of Defense","Defense Health Agency","University of Central Florida",7657866,NA
"Department of Defense","Defense Health Agency","University of Illinois at Chicago",-20079.71,NA
"Department of Defense","Defense Health Agency","University of Maryland-College Park",5535,NA
"Department of Defense","Defense Health Agency","University of Maryland, Baltimore",47234.28,NA
"Department of Defense","Defense Health Agency","University of Nebraska at Omaha",15000,NA
"Department of Defense","Defense Health Agency","University of New Mexico-Main Campus",782611,NA
"Department of Defense","Defense Health Agency","University of North Carolina at Chapel Hill",625722,NA
"Department of Defense","Defense Health Agency","University of Pennsylvania",733396,NA
"Department of Defense","Defense Health Agency","University of Pittsburgh-Pittsburgh Campus",8811342.88,NA
"Department of Defense","Defense Health Agency","Vanderbilt University",61624.43,NA
"Department of Defense","Defense Information Systems Agency","George Washington University",-0.05,NA
"Department of Defense","Defense Information Systems Agency","Texas A & M University-College Station",14752.52,NA
"Department of Defense","Defense Intelligence Agency","Carnegie Mellon University",399050,NA
"Department of Defense","Defense Intelligence Agency","Massachusetts Institute of Technology",-41103.41,NA
"Department of Defense","Defense Logistics Agency","Bucks County Community College",24948,NA
"Department of Defense","Defense Logistics Agency","Harrisburg Area Community College-Harrisburg",19681,NA
"Department of Defense","Defense Logistics Agency","Kellogg Community College",9682.38,NA
"Department of Defense","Defense Logistics Agency","Purdue University-Main Campus",150000,NA
"Department of Defense","Defense Logistics Agency","Rutgers University-New Brunswick",-95478.89,NA
"Department of Defense","Defense Logistics Agency","The University of Tennessee-Knoxville",377971,386909
"Department of Defense","Defense Logistics Agency","University of Arkansas",60000,539091
"Department of Defense","Defense Logistics Agency","University of Dayton",1500000,NA
"Department of Defense","Defense Logistics Agency","University of Hawaii at Manoa",-1339.73,NA
"Department of Defense","Defense Logistics Agency","University of Northern Iowa",808000,NA
"Department of Defense","Defense Logistics Agency","University of Southern California",960,NA
"Department of Defense","Defense Logistics Agency","University of Washington",350,NA
"Department of Defense","Defense Media Activity","Syracuse University",985421,NA
"Department of Defense","Defense Media Activity","University of Southern California",3978783,NA
"Department of Defense","Defense Security Service","Georgia Institute of Technology-Main Campus",459354,NA
"Department of Defense","Defense Threat Reduction Agency","Carnegie Mellon University",494448,1151552
"Department of Defense","Defense Threat Reduction Agency","Clarkson University",182058,135595
"Department of Defense","Defense Threat Reduction Agency","Columbia University in the City of New York",166219.96,1409496
"Department of Defense","Defense Threat Reduction Agency","Emory University",3226488.81,301770
"Department of Defense","Defense Threat Reduction Agency","Johns Hopkins University",-4050.51,1223027
"Department of Defense","Defense Threat Reduction Agency","Kansas State University",1053767,NA
"Department of Defense","Defense Threat Reduction Agency","Kettering University",-0.01,NA
"Department of Defense","Defense Threat Reduction Agency","Massachusetts General Hospital Dietetic Internship",1416543,NA
"Department of Defense","Defense Threat Reduction Agency","Northern Arizona University",1534183,1915418
"Department of Defense","Defense Threat Reduction Agency","Ohio State University",465548,825549
"Department of Defense","Defense Threat Reduction Agency","Pennsylvania State University",816992.33,980730
"Department of Defense","Defense Threat Reduction Agency","Princeton University",524515,NA
"Department of Defense","Defense Threat Reduction Agency","Texas A & M University-College Station",1117924.4,324965
"Department of Defense","Defense Threat Reduction Agency","The University of Tennessee-Knoxville",314635.11,1271242
"Department of Defense","Defense Threat Reduction Agency","The University of Texas at Austin",200921,903565
"Department of Defense","Defense Threat Reduction Agency","The University of Texas at San Antonio",2051436,NA
"Department of Defense","Defense Threat Reduction Agency","The University of Texas Medical Branch",2663935.02,499590
"Department of Defense","Defense Threat Reduction Agency","University of Alaska Fairbanks",4370868,NA
"Department of Defense","Defense Threat Reduction Agency","University of Arizona",21039,859119
"Department of Defense","Defense Threat Reduction Agency","University of California-Irvine",2285452.84,1657082
"Department of Defense","Defense Threat Reduction Agency","University of California-San Diego",30871,879167
"Department of Defense","Defense Threat Reduction Agency","University of Maryland-College Park",1287941.94,1250000
"Department of Defense","Defense Threat Reduction Agency","University of Michigan-Ann Arbor",1956471.98,810239
"Department of Defense","Defense Threat Reduction Agency","University of Minnesota-Twin Cities",355346.5,1230294
"Department of Defense","Defense Threat Reduction Agency","University of Nevada-Reno",227452,706930
"Department of Defense","Defense Threat Reduction Agency","University of North Carolina at Chapel Hill",-303289.58,710277
