"family","program_title","agency","subagency","Recipient","obligation"
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Seton Hall University",492574
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Stanford University",1872211
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Stony Brook University",357375
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","SUNY at Binghamton",3214975
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","SUNY Buffalo State",5605801
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","SUNY Downstate Medical Center",8394965
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Syracuse University",1153760
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Temple University",1139995
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Texas A & M University-College Station",1847285
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Texas Tech University",-16967
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Texas Tech University Health Sciences Center",1168840
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","The University of Tennessee-Health Science Center",1012875
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","The University of Tennessee-Knoxville",44524
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","The University of Texas at Austin",6713036
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","The University of Texas at Dallas",-20251
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","The University of Texas at San Antonio",33978
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","The University of Texas Health Science Center at Houston",592602
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","The University of Texas Health Science Center at San Antonio",1228122
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","The University of Texas MD Anderson Cancer Center",190000
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","The University of Texas Medical Branch",348750
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","The University of Texas Rio Grande Valley",11000
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Thomas Jefferson University",1089125
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Tufts University",825966
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Tulane University of Louisiana",-71345
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of Alabama at Birmingham",620391
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of Alaska Anchorage",292950
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of Alaska Fairbanks",732637
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of Arkansas",-17292
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of Arkansas for Medical Sciences",1184895
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of California-Berkeley",787865
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of California-Davis",1332916
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of California-Irvine",392619
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of California-Los Angeles",3610072
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of California-Merced",210504
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of California-Riverside",257329
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of California-San Diego",5962293
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of California-San Francisco",6284830
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of California-Santa Barbara",334549
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of Chicago",1537950
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of Colorado Boulder",946424
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of Colorado Denver/Anschutz Medical Campus",2257752
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of Connecticut",3379616
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of Delaware",254449
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of Denver",283582
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of Florida",3318472
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of Georgia",1323496
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of Houston",1255476
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of Illinois at Chicago",5590267
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of Illinois at Urbana-Champaign",617611
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of Iowa",663656
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of Kansas",1048094
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of Kentucky",2039629
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of Louisville",5241091
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of Maryland-College Park",76000
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of Maryland, Baltimore",3330161
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of Massachusetts Medical School Worcester",4150668
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of Massachusetts-Amherst",670728
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of Massachusetts-Boston",403361
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","University of Memphis",70730
