"source","target","value"
"Office of Economic Adjustment","Wichita State University",2466536
"Office of Economic Adjustment","University of Illinois at Chicago",2397270
"Office of Economic Adjustment","The University of Texas at Arlington",1980041
"Office of Economic Adjustment","University of Southern Mississippi",1800000
"Office of Economic Adjustment","University of Mississippi",1323220
"Office of Government-wide Policy","Carnegie Mellon University",200000
"Office of Health Affairs","Texas A & M University-College Station",453918.23
"Office of Health Affairs","Kansas State University",400000
"Office of Health Affairs","University of California-San Diego",346875
"Office of Health Affairs","University of Minnesota-Twin Cities",198615.54
"Office of Justice Programs","Pardee RAND Graduate School",10608192.39
"Office of Justice Programs","University of North Texas Health Science Center",8844570.18
"Office of Justice Programs","Johns Hopkins University",5039265.63
"Office of Justice Programs","American University",4223768.01
"Office of Justice Programs","University of Virginia",3223537.12
"Office of Lead Hazard Control and Healthy Homes","Baylor College of Medicine",1000000
"Office of Lead Hazard Control and Healthy Homes","Harvard University",999912
"Office of Lead Hazard Control and Healthy Homes","Columbia University in the City of New York",991572
"Office of Lead Hazard Control and Healthy Homes","Tufts University",779935
"Office of Lead Hazard Control and Healthy Homes","The University of Texas at El Paso",699911
"Office of Personnel Management","University of Virginia",49081.11
"Office of Personnel Management","University of Pennsylvania",37550
"Office of Personnel Management","Boston College",13250
"Office of Surface Mining, Reclamation and Enforcement","Iowa State University",200000
"Office of the Assistant Secretary for Administration","University of Chicago",20730585.38
"Office of the Assistant Secretary for Administration","Johns Hopkins University",10690351.44
"Office of the Assistant Secretary for Administration","Pardee RAND Graduate School",3587031.71
"Office of the Assistant Secretary for Administration","University of Massachusetts-Amherst",2999911.24
"Office of the Assistant Secretary for Administration","University of Michigan-Ann Arbor",1140363.95
"Office of the Assistant Secretary for Administration and Management","American University",788858.98
"Office of the Assistant Secretary for Administration and Management","University of California-Berkeley",499928.85
"Office of the Chief Economist","University of Florida",35000
"Office of the Chief Economist","Colorado State University-Fort Collins",8200
"Office of the Chief Economist","University of Maryland Eastern Shore",6500
"Office of the Chief Information Officer","Pardee RAND Graduate School",285626.77
"Office of the Chief Information Officer","Stanford University",35000
