cluster_final,coc_number,coc_name,Total_Year_Round_Beds,density,weighted_income,weighted_estimate_median_gross_rent,rent_pct_income,land_area,estimated_pop_2018,total_homeless,homeless_individuals,homeless_people_in_families
7,CA-613,Imperial County CoC,182,42.8116171,9093,775,1.022764764,4176.6,181827,1493,1311,182
7,IL-515,South Central Illinois CoC,102,42.33771029,12044.92028,605.495646,0.603237513,9534.03,403649,92,44,48
7,OK-500,North Central Oklahoma CoC,213,41.55539379,10252,784,0.9176746,8160.12,153644,181,98,83
7,IL-519,West Central Illinois CoC,119,37.94970823,12997,748,0.690620913,5929.4,65691,67,23,44
7,CA-522,Humboldt County CoC,398,37.88743803,11713,975,0.998890122,3567.99,136373,703,605,98
7,MN-509,Duluth/St.Louis County CoC,378,32.06982105,12634,777,0.738008548,6247.4,199754,425,261,164
7,OK-506,Southwest Oklahoma Regional CoC,304,31.44024097,12047,810,0.806839877,12991.09,120422,191,114,77
7,OK-507,Southeastern Oklahoma Regional CoC,348,30.2774451,10121,685,0.81217271,17642.77,68362,244,185,59
7,CA-526,"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",154,29.00276101,12709.14605,1006.562662,0.95039839,5284.29,153259,398,265,133
7,MI-513,"Marquette, Alger Counties CoC",69,28.20445975,13082,784,0.719156092,2723.47,66516,70,34,36
7,MN-508,Moorhead/West Central Minnesota CoC,211,27.82500865,13221.20929,675.876884,0.613447865,8612.54,239644,246,112,134
7,OR-503,Central Oregon CoC,272,27.57139955,16205,1186,0.878247454,7778.06,191996,787,588,199
7,AR-505,Southeast Arkansas,223,27.23267106,8468,742,1.051487955,11300.03,68114,101,53,48
7,NY-520,Franklin County CoC,5,26.17465348,11493.39997,720.2754087,0.752023329,3423.35,89605,42,25,17
7,CA-509,Mendocino County CoC,138,24.92884318,12694,1100,1.039861352,3506.34,87606,880,829,51
7,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",402,24.74558937,15112.5,888.5,0.705508685,12965.26,200369,238,212,26
7,MN-511,Southwest Minnesota CoC,119,23.04104532,13855.12536,638.8403111,0.553303094,12064.47,277978,65,21,44
7,OK-503,Oklahoma Balance of State CoC,145,22.17073178,15684,859.5,0.657612854,20139.66,217126,233,47,186
7,CA-527,Tehama County CoC,41,21.36311705,11504,781,0.814673157,2949.71,63015,125,107,18
7,KS-507,Kansas Balance of State CoC,1264,18.56085377,13864.25,927.75,0.803000523,79592.19,343256,918,581,337
