cluster_final,coc_number,coc_name,class,type,density,land_area,weighted_estimate_median_gross_rent,weighted_income,estimated_pop_2016,weighted_mental_illness,weighted_alcohol_dependence_or_abuse,weighted_drug_use,days_below_32,Property_crime_rate,Total_Year_Round_Beds,total_homeless,sheltered_homeless,unsheltered_homeless,chronically_homeless,homeless_individuals,homeless_people_in_families
2b,TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",6,2,141.602792,4641.9,665.5614356,10532.64389,657306,4.62,5.32,6.48,115.2281022,3060.6,418,752,368,384,104,423,329
2b,CA-514,Fresno/Madera County CoC,6,2,137.9268344,8095.06,909.5163194,10306.14224,1116526,4.243901602,6.642528002,10.87148079,27.14187956,2441.1,560,2016,487,1529,692,1742,274
2b,MS-503,Gulf Port/Gulf Coast Regional CoC,6,2,137.4746829,3505.54,804.5303337,9837.552974,481923,4.64,6.06,8.45,31.00187705,2921.2,94,264,71,193,19,185,79
2b,CA-520,Merced City & County CoC,6,2,136.9535445,1934.97,882,10927,265001,4.08,6.47,11.76,19.58371878,2441.1,148,454,156,298,120,447,7
2b,CA-519,Chico/Paradise/Butte County CoC,6,2,136.8056659,1636.46,936,9729,223877,4.65,7.31,15.8,12.32208029,2441.1,463,1195,450,745,531,997,198
2b,WV-503,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",6,2,133.475391,2090.7,697.5209581,11496.54798,279057,5.51,5.89,7.14,99.90875912,2034.7,347,319,270,49,65,272,47
2b,AL-505,Gadsden/Northeast Alabama CoC,6,2,127.882184,2471.65,609.6626645,9514.460507,316080,4.272667489,5.845663788,7.590912396,71.58186864,3177.6,178,163,103,60,43,130,33
2b,NY-514,Jamestown/Dunkirk/Chautauqua County CoC,6,2,124.2636032,1060.23,619,10327,131748,4.61,6.42,11.17,150.5292,1718.2,106,83,80,3,0,41,42
2b,FL-508,"Gainesville/Alachua, Putnam Counties CoC",6,2,122.617098,3364.49,804.5175012,7229.991838,412544,4.277936705,7.207315389,12.31626629,4.162864964,3415.5,381,819,373,446,291,699,120
2b,VA-508,Lynchburg CoC,6,2,122.1051934,2113.44,746.8116305,10885.09091,258062,5.13,7.17,8.63,110.2326642,1930.3,172,125,100,25,27,92,33
2b,LA-500,Lafayette/Acadiana CoC,6,2,117.9293894,5550.44,694.0672436,9744.466671,654560,4.557853275,6.713537857,7.386473127,16.48494526,3458.8,263,357,261,96,49,226,131
2b,LA-508,Houma-Terrebonne/Thibodaux CoC,6,2,104.3589523,3372.37,822.5910404,11360.76635,351937,4.08,5.96,7.8,6.494069343,3458.8,145,116,109,7,8,34,82
2b,CA-513,"Visalia, Kings, Tulare Counties CoC",7,2,97.53236031,6213.63,857.4136132,10832.41064,606030,4.26,6.52,9.64,32.30383212,2441.1,459,853,354,499,251,732,121
2b,MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",7,2,94.65885951,1262.09,695.9274366,10749.39681,119468,4.53,6.99,8.39,123.220803,2906.5,190,210,192,18,62,118,92
2b,LA-502,Shreveport/Bossier/Northwest CoC,7,2,94.18856771,5142.45,755.087022,9007.942411,484360,4.09,5.71,6.88,52.02221194,3458.8,430,349,302,47,31,246,103
2b,NC-516,Northwest North Carolina CoC,7,2,83.68923217,2509.14,665.0174391,8237.316294,209988,5.682707298,5.997402137,8.248356763,124.7194343,2873.1,121,466,119,347,13,199,267
2b,TN-506,Oak Ridge/Upper Cumberland CoC,7,2,81.13507498,6982.27,664.6534835,10741.65342,566507,4.888621871,5.336454589,6.525731597,114.08388,3060.6,259,252,168,84,25,157,95
2b,FL-506,Tallahassee/Leon County CoC,7,2,79.57975275,5497.24,858.2628986,8917.233502,437469,3.83,7.48,13.83,18.31660584,3415.5,759,1072,950,122,117,810,262
2b,OR-500,Eugene/Springfield/Lane County CoC,7,2,79.12662087,4553.12,885,9657,360273,5.12,7.25,13.86,63.94160584,2879,571,1529,526,1003,640,1260,269
2b,NY-516,Clinton County CoC,7,2,78.53254324,1037.85,748,11453,81505,4.5,6.67,9.72,167.7209625,1718.2,125,126,125,1,8,73,53
