Recipient,State,INST_TYPE,LONGITUDE,LATITUDE,COUNTY,Football,Basketball,Fed_Funding_Amt
Rio Salado College,AZ,"Public, 2-year",-111.975201,33.413138,Maricopa County,NA,NA,28410475
Southwestern Oklahoma State University,OK,"Public, 4-year or above",-98.707964,35.534609,Custer County,Great American Conference,Great American Conference,28376106
Hudson County Community College,NJ,"Public, 2-year",-74.062861,40.730559,Hudson County,NA,NA,28324708
Shawnee State University,OH,"Public, 4-year or above",-82.995357,38.730909,Scioto County,NA,Mid-South Conference,28295882
University of Tulsa,OK,"Private not-for-profit, 4-year or above",-95.945175,36.151887,Tulsa County,American Athletic Conference,American Athletic Conference,28218472
The Sage Colleges,NY,"Private not-for-profit, 4-year or above",-73.693711,42.72822,Rensselaer County,NA,Skyline Conference,28155523
Siena College,NY,"Private not-for-profit, 4-year or above",-73.7526,42.717602,Albany County,NA,Metro Atlantic Athletic Conference,28140030
Union County College,NJ,"Public, 2-year",-74.319784,40.667835,Union County,NA,NA,28121856
Butler Community College,KS,"Public, 2-year",-96.882718,37.806377,Butler County,NA,NA,28083020
DeSales University,PA,"Private not-for-profit, 4-year or above",-75.376549,40.540137,Lehigh County,NA,Middle Atlantic States Athletic Corporation,28046739
Southwestern College,CA,"Public, 2-year",-116.997215,32.641567,San Diego County,NA,NA,28016683
Carroll University,WI,"Private not-for-profit, 4-year or above",-88.227962,43.004647,Waukesha County,College Conference of Illinois and Wisc,College Conference of Illinois and Wisc,27939532
Northeast Wisconsin Technical College,WI,"Public, 2-year",-88.105675,44.526467,Brown County,NA,NA,27925183
New York Law School,NY,"Private not-for-profit, 4-year or above",-74.006394,40.717393,New York County,NA,NA,27879226
Framingham State University,MA,"Public, 4-year or above",-71.437175,42.297289,Middlesex County,Massachusetts State College Ath Assoc,Massachusetts State College Ath Assoc,27877161
Bryant University,RI,"Private not-for-profit, 4-year or above",-71.539547,41.920092,Providence County,Northeast Conference,Northeast Conference,27876643
Southern Arkansas University Main Campus,AR,"Public, 4-year or above",-93.235087,33.291195,Columbia County,Great American Conference,Great American Conference,27821653
Lane Community College,OR,"Public, 2-year",-123.03345,44.010179,NA,NA,NA,27811454
Los Angeles City College,CA,"Public, 2-year",-118.292169,34.087301,Los Angeles County,NA,NA,27733840
Santa Barbara City College,CA,"Public, 2-year",-119.698045,34.406788,Santa Barbara County,NA,NA,27698935
Saint Francis University,PA,"Private not-for-profit, 4-year or above",-78.638469,40.502782,NA,NA,NA,27635305
University of Richmond,VA,"Private not-for-profit, 4-year or above",-77.538702,37.577625,Richmond City,Colonial Athletic Association,Atlantic 10 Conference,27625284
Miles College,AL,"Private not-for-profit, 4-year or above",-86.908605,33.481306,Jefferson County,Southern Intercollegiate Athletic Conf,Southern Intercollegiate Athletic Conf,27611678
Oklahoma City Community College,OK,"Public, 2-year",-97.570109,35.387699,Oklahoma County,NA,NA,27558786
Sacramento City College,CA,"Public, 2-year",-121.49166,38.541883,Sacramento County,NA,NA,27549374
National University of Natural Medicine,OR,"Private not-for-profit, 4-year or above",-122.678378,45.501565,Multnomah County,NA,NA,27337839
San Joaquin Delta College,CA,"Public, 2-year",-121.317226,37.994643,San Joaquin County,NA,NA,27326016
Carthage College,WI,"Private not-for-profit, 4-year or above",-87.820706,42.622893,Kenosha County,College Conference of Illinois and Wisc,College Conference of Illinois and Wisc,27317562
Pacific Lutheran University,WA,"Private not-for-profit, 4-year or above",-122.440421,47.14516,Pierce County,Northwest Conference,Northwest Conference,27293039
Gwinnett Technical College,GA,"Public, 2-year",-84.066224,33.962763,Gwinnett County,NA,NA,27290726
SUNY Westchester Community College,NY,"Public, 2-year",-73.789669,41.068458,Westchester County,NA,NA,27229695
Pierce College,WA,"Public, 4-year or above",-122.570935,47.172082,Pierce County,NA,NA,27136824
Misericordia University,PA,"Private not-for-profit, 4-year or above",-75.971016,41.344765,Luzerne County,Middle Atlantic States Athletic Corporation,Middle Atlantic States Athletic Corporation,27066864
Missouri Baptist University,MO,"Private not-for-profit, 4-year or above",-90.462606,38.642017,St. Louis County,Mid-States Football Association,American Midwest Conference,27038843
Lorain County Community College,OH,"Public, 2-year",-82.07242,41.412448,Lorain County,NA,NA,27001727
Truckee Meadows Community College,NV,"Public, 2-year",-119.795319,39.572159,Washoe County,NA,NA,26987953
Hawaii Pacific University,HI,"Private not-for-profit, 4-year or above",-157.859645,21.310306,Honolulu County,NA,Pacific West Conference,26900924
Piedmont Technical College,SC,"Public, 2-year",-82.120834,34.207372,Greenwood County,NA,NA,26880970
Riverside City College,CA,"Public, 2-year",-117.38054,33.971481,Riverside County,NA,NA,26872300
Methodist University,NC,"Private not-for-profit, 4-year or above",-78.874426,35.135058,Cumberland County,USA South Athletic Conference,USA South Athletic Conference,26781020
Johnson C Smith University,NC,"Private not-for-profit, 4-year or above",-80.854842,35.243384,Mecklenburg County,Central Intercollegiate Athletic Assoc,Central Intercollegiate Athletic Assoc,26740314
Lenoir-Rhyne University,NC,"Private not-for-profit, 4-year or above",-81.326161,35.73904,Catawba County,South Atlantic Conference,South Atlantic Conference,26705375
Ohio Northern University,OH,"Private not-for-profit, 4-year or above",-83.830729,40.766144,Hardin County,Ohio Athletic Conference,Ohio Athletic Conference,26685334
Sierra College,CA,"Public, 2-year",-121.212646,38.792758,Placer County,NA,NA,26685143
Berea College,KY,"Private not-for-profit, 4-year or above",-84.289332,37.573334,Madison County,NA,Independent Southeast Region,26645973
Medaille College,NY,"Private not-for-profit, 4-year or above",-78.856569,42.92895,Erie County,NA,Allegheny Mountain Collegiate Conference,26608043
Modesto Junior College,CA,"Public, 2-year",-121.009723,37.652042,Stanislaus County,NA,NA,26520117
Henderson State University,AR,"Public, 4-year or above",-93.060313,34.127792,Clark County,Great American Conference,Great American Conference,26519202
College of Central Florida,FL,"Public, 4-year or above",-82.175692,29.166079,Marion County,NA,NA,26501890
Phoenix College,AZ,"Public, 2-year",-112.088293,33.481361,Maricopa County,NA,NA,26461768
Northwest Vista College,TX,"Public, 2-year",-98.708405,29.471082,Bexar County,NA,NA,26440093
Andrews University,MI,"Private not-for-profit, 4-year or above",-86.355815,41.963859,Berrien County,NA,NA,26438632
Camden County College,NJ,"Public, 2-year",-75.038381,39.784874,Camden County,NA,NA,26428417
Carlow University,PA,"Private not-for-profit, 4-year or above",-79.963927,40.439851,Allegheny County,NA,River States,26422642
North Hennepin Community College,MN,"Public, 2-year",-93.373662,45.107408,Hennepin County,NA,NA,26395204
Manchester University,IN,"Private not-for-profit, 4-year or above",-85.758762,41.011609,Wabash County,Heartland Collegiate Athletic Conference,Heartland Collegiate Athletic Conference,26391526
Central Georgia Technical College,GA,"Public, 2-year",-83.667531,32.54502,Houston County,NA,NA,26302274
University of Wisconsin-Parkside,WI,"Public, 4-year or above",-87.855407,42.646074,NA,NA,NA,26297066
Somerset Community College,KY,"Public, 2-year",-84.617546,37.059599,Pulaski County,NA,NA,26284792
Elmhurst College,IL,"Private not-for-profit, 4-year or above",-87.946096,41.899215,Dupage County,College Conference of Illinois and Wisc,College Conference of Illinois and Wisc,26240999
Iowa Central Community College,IA,"Public, 2-year",-94.20299,42.490067,Webster County,NA,NA,26225701
Atlanta Technical College,GA,"Public, 2-year",-84.404995,33.712009,Fulton County,NA,NA,26217372
John C Calhoun State Community College,AL,"Public, 2-year",-86.949131,34.65428,Limestone County,NA,NA,26213825
Chaffey College,CA,"Public, 2-year",-117.573086,34.14705,San Bernardino County,California Collegiate Athletic Assoc,California Collegiate Athletic Assoc,26175987
SUNY College of Technology at Delhi,NY,"Public, 4-year or above",-74.924612,42.269859,Delaware County,NA,NA,26139919
Fairmont State University,WV,"Public, 4-year or above",-80.161844,39.485925,NA,NA,NA,26076978
Florida Southern College,FL,"Private not-for-profit, 4-year or above",-81.945791,28.031507,Polk County,NA,Sunshine State Conference,26055136
Northwestern Health Sciences University,MN,"Private not-for-profit, 4-year or above",-93.311218,44.85097,Hennepin County,NA,NA,26044151
Los Angeles Valley College,CA,"Public, 2-year",-118.421446,34.176406,Los Angeles County,NA,NA,26000635
Cameron University,OK,"Public, 4-year or above",-98.434163,34.606487,Comanche County,NA,Lone Star Conference,25975022
Mount Saint Mary College,NY,"Private not-for-profit, 4-year or above",-74.012906,41.511212,Orange County,NA,Skyline Conference,25921113
Southwest Baptist University,MO,"Private not-for-profit, 4-year or above",-93.410451,37.601603,Polk County,Great Lakes Valley Conference,Mid-America Intercollegiate Ath Assoc,25919948
Thomas Edison State University,NJ,"Public, 4-year or above",-74.769652,40.22011,Mercer County,NA,NA,25904201
Northwest Mississippi Community College,MS,"Public, 2-year",-89.969525,34.625532,Tate County,NA,NA,25891453
New England College,NH,"Private not-for-profit, 4-year or above",-71.822928,43.177005,Merrimack County,NA,Eastern College Athletic Conference,25804567
University of Illinois at Springfield,IL,"Public, 4-year or above",-89.614917,39.729862,Sangamon County,NA,Great Lakes Valley Conference,25764872
Anderson University,SC,"Private not-for-profit, 4-year or above",-82.640205,34.515506,Anderson County,NA,South Atlantic Conference,25739556
Iowa Western Community College,IA,"Public, 2-year",-95.797975,41.272168,Pottawattamie County,NA,NA,25661148
Hudson Valley Community College,NY,"Public, 2-year",-73.682526,42.696462,Rensselaer County,NA,NA,25623958
Glendale Community College,CA,"Public, 2-year",-118.228251,34.166422,Los Angeles County,NA,NA,25606462
Central State University,OH,"Public, 4-year or above",-83.876795,39.716465,Greene County,Southern Intercollegiate Athletic Conf,Southern Intercollegiate Athletic Conf,25573590
Anoka-Ramsey Community College,MN,"Public, 2-year",-93.351697,45.172978,Anoka County,NA,NA,25450546
Lincoln University,MO,"Public, 4-year or above",-92.168509,38.564409,Cole County,Great Lakes Valley Conference,Mid-America Intercollegiate Ath Assoc,25384382
Missouri Western State University,MO,"Public, 4-year or above",-94.785643,39.7575,Buchanan County,Mid-America Intercollegiate Ath Assoc,Mid-America Intercollegiate Ath Assoc,25381828
Bentley University,MA,"Private not-for-profit, 4-year or above",-71.220148,42.388798,Middlesex County,Northeast 10 Conference,Northeast 10 Conference,25374795
Cedarville University,OH,"Private not-for-profit, 4-year or above",-83.812098,39.750338,Greene County,NA,Great Midwest Athletic Conference,25312230
Curry College,MA,"Private not-for-profit, 4-year or above",-71.116539,42.238061,Norfolk County,New England Football Conference,Commonwealth Coast Conference,25293659
Endicott College,MA,"Private not-for-profit, 4-year or above",-70.840729,42.554177,Essex County,New England Football Conference,Commonwealth Coast Conference,25226436
National University of Health Sciences,IL,"Private not-for-profit, 4-year or above",-88.013153,41.861919,Dupage County,NA,NA,25216670
MiraCosta College,CA,"Public, 2-year",-117.302283,33.191231,San Diego County,NA,NA,25190043
John Carroll University,OH,"Private not-for-profit, 4-year or above",-81.531338,41.491321,Cuyahoga County,Ohio Athletic Conference,Ohio Athletic Conference,25181428
Gwynedd Mercy University,PA,"Private not-for-profit, 4-year or above",-75.236601,40.202804,Montgomery County,NA,Colonial States Athletic Conference,25119670
University of Mary Washington,VA,"Public, 4-year or above",-77.474392,38.302206,Fredericksburg City,NA,Capital Athletic Conference,25076724
St Philip's College,TX,"Public, 2-year",-98.452987,29.41456,Bexar County,NA,NA,24956631
Southern University at Shreveport,LA,"Public, 2-year",-93.834559,32.545632,Caddo Parish,NA,Other,24951505
Metropolitan Community College Area,NE,"Public, 2-year",-95.957829,41.310451,Douglas County,NA,NA,24902029
Minnesota State Community and Technical College,MN,"Public, 2-year",-96.096961,46.288102,Otter Tail County,NA,NA,24887449
Whitworth University,WA,"Private not-for-profit, 4-year or above",-117.418078,47.753699,Spokane County,Northwest Conference,Northwest Conference,24839376
Whitworth University,WA,"Private not-for-profit, 4-year or above",-117.418078,47.753699,Spokane County,Northwest Conference,Northwest Conference,24839376
Polk State College,FL,"Public, 4-year or above",-81.712932,28.030775,Polk County,NA,NA,24707436
Lindsey Wilson College,KY,"Private not-for-profit, 4-year or above",-85.299909,37.101853,Adair County,Mid-South Conference,Mid-South Conference,24673844
Campbellsville University,KY,"Private not-for-profit, 4-year or above",-85.348943,37.343342,Taylor County,Mid-South Conference,Mid-South Conference,24618377
Albright College,PA,"Private not-for-profit, 4-year or above",-75.909742,40.361351,Berks County,Middle Atlantic States Athletic Corporation,Commonwealth Conference,24580552
Community College of Denver,CO,"Public, 2-year",-105.003007,39.74142,Denver County,NA,NA,24559483
Rollins College,FL,"Private not-for-profit, 4-year or above",-81.348716,28.591992,Orange County,NA,Sunshine State Conference,24489159
Thomas Nelson Community College,VA,"Public, 2-year",-76.418615,37.063654,Hampton City,NA,NA,24483303
J Sargeant Reynolds Community College,VA,"Public, 2-year",-77.472958,37.637415,Henrico County,NA,NA,24456947
Shepherd University,WV,"Public, 4-year or above",-77.804844,39.434319,Jefferson County,Mountain East Conference,Mountain East Conference,24444326
Golden Gate University-San Francisco,CA,"Private not-for-profit, 4-year or above",-122.398785,37.789208,San Francisco County,NA,NA,24432614
Delta State University,MS,"Public, 4-year or above",-90.735365,33.744745,Bolivar County,Gulf South Conference,Gulf South Conference,24423790
