"source","target","value"
"Chaffey College","Education",1690032
"Chaffey College","Childcare and Welfare",189472
"Chaminade University of Honolulu","Education",4044989
"Chaminade University of Honolulu","Science, Engineering, and Mathematics",633668
"Chaminade University of Honolulu","Early Childhood Programs",529610
"Chapman University","Medical R&D",4094412
"Chapman University","Science, Engineering, and Mathematics",2116380
"Chapman University","Early Childhood Programs",130162
"Chapman University","Information Services and Records Preservation",100000
"Chapman University","Education",92000
"Charles H McCann Technical School","Education",35732
"Charles R Drew University of Medicine and Science","Medical R&D",7861044
"Charles R Drew University of Medicine and Science","Education",2417030
"Charles R Drew University of Medicine and Science","HIV Programs",1869337
"Charles R Drew University of Medicine and Science","Nursing and Health Professionals",637255
"Charles R Drew University of Medicine and Science","Research Support Programs",515636
"Charleston Southern University","Education",494031
"Chatham University","Nursing and Health Professionals",469698
"Chatham University","Business",150000
"Chatham University","Science, Engineering, and Mathematics",125157
"Chatham University","Humanities and the Arts",193
"Chattanooga State Community College","Education",450000
"Chattanooga State Community College","Childcare and Welfare",156656
"Chattanooga State Community College","Research Support Programs",69913.94
"Chemeketa Community College","Education",1897169.45
"Chemeketa Community College","Refugee and Entrant Assistance",899953
"Chemeketa Community College","Childcare and Welfare",161372
"Chesapeake College","Education",595270
"Cheyney University of Pennsylvania","Education",2349337
"Chicago State University","Nursing and Health Professionals",2436636
"Chicago State University","Education",2058042.66
"Chicago State University","Individuals with Disabilities",249985
"Chicago State University","Science, Engineering, and Mathematics",124919
"Chief Dull Knife College","Education",3392882
"Chief Dull Knife College","Regional Development",129000
"Chief Dull Knife College","Agriculture and Farming R&D",125000
"Chief Dull Knife College","Science, Engineering, and Mathematics",82804
"Chief Dull Knife College","SPECIAL STUDIES - NOT R&D",20000
"Chipola College","Education",237317.16
"Chippewa Valley Technical College","Academic Exchange Programs",87615
"Chowan University","Education",453899
"Christopher Newport University","Education",963066
"Christopher Newport University","Science, Engineering, and Mathematics",676479.58
"Christopher Newport University","LEASE & RENTAL OF BUILDINGS",250
"Cincinnati State Technical and Community College","Education",818499.74
"Cincinnati State Technical and Community College","Infrastructure",502727
"Cincinnati State Technical and Community College","Childcare and Welfare",164512
"Citadel Military College of South Carolina","EDUCATION & TRAINING SERVICES",1152924.04
"Citadel Military College of South Carolina","Education",999914
"Citadel Military College of South Carolina","Veterans Programs",10925
"Citrus College","Education",242132
"City Colleges of Chicago-District Office","Science, Engineering, and Mathematics",275000
"City Colleges of Chicago-Harold Washington College","Education",1000000
"City Colleges of Chicago-Harry S Truman College","Education",732682
"City Colleges of Chicago-Kennedy-King College","Education",281456.28
"City Colleges of Chicago-Malcolm X College","Education",1004035.2
"City Colleges of Chicago-Olive-Harvey College","Education",543246
"City Colleges of Chicago-Olive-Harvey College","Science, Engineering, and Mathematics",22500
"City Colleges of Chicago-Wilbur Wright College","Education",1523500
"Claflin University","Education",4549116.74
"Claflin University","Medical R&D",224068
"Claflin University","Regional Development",94700
"Claflin University","Historic Sites",50000
"Claflin University","Science, Engineering, and Mathematics",16739
"Claremont Graduate University","Education",768582
"Claremont Graduate University","Public Health",384049
"Claremont Graduate University","Science, Engineering, and Mathematics",251810
"Claremont Graduate University","Homeland Security",68404
"Claremont Graduate University","Defense R&D",49990
"Claremont McKenna College","Science, Engineering, and Mathematics",886675
"Claremont McKenna College","Environment",167723
"Claremont McKenna College","Education",37372
"Clarion University of Pennsylvania","Education",1242776
"Clarion University of Pennsylvania","HIV Programs",398128
"Clarion University of Pennsylvania","Regional Development",74000
"Clark Atlanta University","Education",10029258.63
"Clark Atlanta University","Medical R&D",3594867
"Clark Atlanta University","Science, Engineering, and Mathematics",1099319
"Clark Atlanta University","Historic Sites",500000
"Clark Atlanta University","Business",499497
"Clark College","Childcare and Welfare",122981
"Clark State Community College","Education",269751
"Clark University","Science, Engineering, and Mathematics",2813400.48
"Clark University","Energy Programs",377233
"Clark University","Medical R&D",375750
"Clark University","Medical R&D (Infectious Diseases)",225450
"Clark University","Education",46000
"Clarke University","Nursing and Health Professionals",166646
"Clarkson College","Nursing and Health Professionals",412992
"Clarkson University","Wetland Preservation",2000000
"Clarkson University","Science, Engineering, and Mathematics",1629490
"Clarkson University","ENVIRONMENTAL PROTECTION R&D",464255
"Clarkson University","Education",293518
"Clarkson University","Defense R&D",289000
"Clatsop Community College","Education",1031261.52
"Clatsop Community College","SHIPS, SMALL CRAFT, PONTOON, & DOCKS",24000
"Clayton  State University","Education",1262703
"Clemson University","Science, Engineering, and Mathematics",23721965.93
"Clemson University","Medical R&D",12795380
"Clemson University","Energy Programs",7248470.53
"Clemson University","Education",4701150
"Clemson University","Agriculture and Farming R&D",3263911.77
"Cleveland Clinic Health System-School of Diagnostic Imaging","Medical R&D",5854796
"Cleveland Clinic Health System-School of Diagnostic Imaging","EDUCATION & TRAINING SERVICES",651054
"Cleveland Clinic Health System-School of Diagnostic Imaging","Science, Engineering, and Mathematics",364249
"Cleveland Clinic Health System-School of Diagnostic Imaging","Early Childhood Programs",353676
"Cleveland Clinic Health System-School of Diagnostic Imaging","DEFENSE (OTHER) R&D",336727
"Cleveland Community College","Education",498591
"Cleveland Institute of Art","EDUCATION & TRAINING SERVICES",2232.6
"Cleveland State Community College","Environment",89719.04
"Cleveland State University","Medical R&D",1714710
"Cleveland State University","Medical R&D (Infectious Diseases)",1214140
"Cleveland State University","Education",1068067
"Cleveland State University","Science, Engineering, and Mathematics",1010664
"Cleveland State University","Foreign Policy",300000
