"source","target","value"
"California Polytechnic State University-San Luis Obispo","Education",6161003.63
"California Polytechnic State University-San Luis Obispo","Science, Engineering, and Mathematics",2350250
"California Polytechnic State University-San Luis Obispo","PROFESSIONAL SERVICES",1248776
"California Polytechnic State University-San Luis Obispo","Early Childhood Programs",1103881
"California Polytechnic State University-San Luis Obispo","Energy Programs",681502.5
"California State Polytechnic University-Pomona","Education",10742220.24
"California State Polytechnic University-Pomona","Science, Engineering, and Mathematics",891708
"California State Polytechnic University-Pomona","Medical R&D",655131
"California State Polytechnic University-Pomona","Research Support Programs",254736
"California State Polytechnic University-Pomona","Individuals with Disabilities",249982
"California State University Maritime Academy","NON-NUCLEAR SHIP REPAIR",259296.74
"California State University Maritime Academy","Education",184000
"California State University Maritime Academy","Science, Engineering, and Mathematics",115289
"California State University Maritime Academy","EDUCATION & TRAINING SERVICES",9188
"California State University-Bakersfield","Education",5134767.36
"California State University-Bakersfield","Refugee and Entrant Assistance",899750
"California State University-Bakersfield","Medical R&D",356689
"California State University-Bakersfield","Social Wellness and Development",299381
"California State University-Bakersfield","Individuals with Disabilities",155820
"California State University-Channel Islands","Education",2813134.56
"California State University-Chico","Education",6639823.3
"California State University-Chico","Wildlife",3400000
"California State University-Chico","Environment",732909
"California State University-Chico","Regional Development",702666
"California State University-Chico","Social Wellness and Development",369546
"California State University-Dominguez Hills","Education",7052183
"California State University-Dominguez Hills","Medical R&D",704471
"California State University-Dominguez Hills","Individuals with Disabilities",499510
"California State University-Dominguez Hills","Childcare and Welfare",394292
"California State University-Dominguez Hills","Research Support Programs",244487
"California State University-East Bay","Education",9950387
"California State University-East Bay","Social Wellness and Development",1178439
"California State University-East Bay","Science, Engineering, and Mathematics",437257
"California State University-East Bay","HIV Programs",409986
"California State University-East Bay","Environmental R&D",127220
"California State University-Fresno","Education",5434942.96
"California State University-Fresno","Medical R&D",833636
"California State University-Fresno","Nursing and Health Professionals",655667
"California State University-Fresno","Science, Engineering, and Mathematics",531214.32
"California State University-Fresno","Individuals with Disabilities",489849
"California State University-Fullerton","Education",7755094.43
"California State University-Fullerton","Business",2513810.99
"California State University-Fullerton","Nursing and Health Professionals",2021913
"California State University-Fullerton","Science, Engineering, and Mathematics",1812002.35
"California State University-Fullerton","Medical R&D",1040925
"California State University-Long Beach","Education",6524582.06
"California State University-Long Beach","Research Support Programs",5542136
"California State University-Long Beach","Medical R&D",3708268
"California State University-Long Beach","Science, Engineering, and Mathematics",1319957
"California State University-Long Beach","Individuals with Disabilities",1222017
"California State University-Los Angeles","Education",6694983
"California State University-Los Angeles","Medical R&D",3342285
"California State University-Los Angeles","Science, Engineering, and Mathematics",1579708.63
"California State University-Los Angeles","Individuals with Disabilities",1199999
"California State University-Los Angeles","Criminal Justice and Public Safety",830884
"California State University-Monterey Bay","Education",12700046
"California State University-Monterey Bay","Science, Engineering, and Mathematics",595649.46
"California State University-Monterey Bay","Individuals with Disabilities",498343
"California State University-Monterey Bay","Research Support Programs",448091
"California State University-Monterey Bay","Refugee and Entrant Assistance",425000
"California State University-Northridge","Science, Engineering, and Mathematics",5806898.59
"California State University-Northridge","Education",5387612.25
"California State University-Northridge","Research Support Programs",5148514
"California State University-Northridge","Medical R&D",3323444
"California State University-Northridge","Individuals with Disabilities",899966.64
"California State University-Sacramento","Education",7869541
"California State University-Sacramento","Environmental R&D",3709708.92
