"cluster_final","coc_number","coc_name","Total_Year_Round_Beds","density","weighted_income","weighted_estimate_median_gross_rent","rent_pct_income","land_area","estimated_pop_2018","total_homeless","homeless_individuals","homeless_people_in_families","CoC_program_funding","Other_program_funding"
"6","VT-501","Burlington/Chittenden County CoC",290,299.1352641,16021,1205,0.902565382934898,536.58,164572,359,255,104,598156.58,-4797.81
"6","MD-507","Cecil County CoC",132,295.0732088,18016,1107,0.73734458259325,346.27,102826,129,90,39,57160.24,0
"6","NJ-516","Warren, Sussex, Hunterdon Counties CoC",271,289.5470757,22829.66667,1284.666667,0.675261720936901,1303.75,371292,338,243,95,598196,0
"6","MO-503","St. Charles, Lincoln, Warren Counties CoC",255,289.3240901,23243,1018,0.525577593253883,1615.6,399182,532,278,254,60191,0
"6","AL-503","Huntsville/North Alabama CoC",487,288.4196263,13807.33333,753,0.654434841546626,1940.87,581782,424,336,88,405929.54,0
"6","FL-511","Pensacola/Escambia/Santa Rosa County CoC",774,283.8489023,16430.5,1045,0.763214753050729,1668.06,494883,632,467,165,1233340,0
"6","WA-502","Spokane City & County CoC",1068,275.4630653,13723,921,0.805363258762661,1763.79,514631,1245,917,328,3267079.24,1001871
"6","MI-515","Monroe City & County CoC",205,272.9299769,16281,848,0.625023032983232,549.39,150439,209,135,74,125684,0
"6","VA-514","Fredericksburg/Spotsylvania, Stafford Counties CoC",163,253.2199849,27694,1547.5,0.670542355744927,1388.05,284198,200,128,72,308411,0
"6","FL-602","Punta Gorda/Charlotte County CoC",90,249.3708473,13734,1050,0.917431192660551,680.28,184998,164,130,34,69197,0
"6","NY-512","Troy/Rensselaer County CoC",139,245.1741949,17066,977,0.686979960154694,652.43,159442,178,100,78,3078268.17,263236
"6","MI-510","Saginaw City & County CoC",430,243.9677044,11593,747,0.773225222116795,800.11,190800,357,153,204,1678336.14,356060
"6","IL-513","Springfield/Sangamon County CoC",276,228.767707,12749,838,0.788767746489921,868.3,195348,271,195,76,282691,9542559.99
"6","MI-517","Jackson City & County CoC",196,227.2906067,12382,805,0.780164755289937,701.67,158823,81,65,16,837585.86,0
"6","MO-600","Springfield/Greene, Christian, Webster Counties CoC",317,221.0187325,12268.5,769,0.752170191955007,1830.51,378906,479,314,165,789470.28,-7990
"6","NY-510","Ithaca/Tompkins County CoC",49,219.6734436,11567,1153,1.19616149390507,474.65,102793,91,75,16,58336,0
"6","FL-514","Ocala/Marion County CoC",356,214.7871635,11250,901,0.961066666666667,1584.55,359977,572,443,129,244761,159716
"6","OR-507","Clackamas County CoC",85,211.1761624,20854,1351,0.777404814424091,1870.32,416075,383,317,66,1713646.42,638631.75
"6","IL-503","Champaign/Urbana/Rantoul/Champaign County CoC",146,207.1928293,6972,815,1.40275387263339,996.27,209983,188,121,67,480939.78,100069.36
"6","CA-521","Davis/Woodland/Yolo County CoC",236,206.6355242,12229,1320,1.2952817074168,1014.69,220408,448,316,132,463734.62,0
"6","NC-506","Wilmington/Brunswick, New Hanover, Pender Counties CoC",405,205.3959304,11852,1071.5,1.08488018899764,1908.29,369018,333,271,62,718764.23,0
"6","AR-500","Little Rock/Central Arkansas CoC",674,202.2694302,13780.66667,846.3333333,0.736974505138364,2902.05,587758,1081,950,131,2186548.32,2206695.69
"6","CA-515","Roseville/Rocklin/Placer, Nevada Counties CoC",486,198.4159203,16618,1421.5,1.02647731375617,2364.78,492845,950,766,184,1232023.19,-6213
"6","NJ-512","Salem County CoC",33,194.3476951,13009,1144,1.05526942885695,331.9,62607,49,14,35,127379,0
"6","MI-514","Battle Creek/Calhoun County CoC",239,190.7183212,13059,781,0.717665977486791,706.23,134487,236,172,64,223452.52,0
"6","MI-523","Eaton County CoC",139,188.7163795,17446,863,0.593603118193282,575.17,109826,122,10,112,702969.14,0
"6","CA-517","Napa City & County CoC",169,188.175477,21081,1655,0.94208054646364,748.36,139417,322,276,46,418756.26,-12690
"6","IL-516","Decatur/Macon County CoC",139,186.6813618,11907,719,0.72461577223482,580.69,104712,161,98,63,660403.9,0
"6","AK-500","Anchorage CoC",1023,175.5877936,22313,1238,0.665800206157845,1704.68,291538,1094,814,280,2707739.92,944171
"6","WV-501","Huntington/Cabell, Wayne Counties CoC",263,175.1715375,7663,760,1.19013441211014,787,93224,190,149,41,2232583.05,425253
"6","TN-509","Appalachian Regional CoC",550,174.9798077,10780.66667,680,0.756910518595971,2897.14,355362,360,291,69,1439158,0
"6","FL-606","Naples/Collier County CoC",440,174.2643821,17776,1257,0.848559855985599,1998.32,378488,653,551,102,119616,332122.77
"6","MD-500","Cumberland/Allegany County CoC",116,172.2463221,9838,662,0.807481195364912,424.16,70975,79,38,41,514201,0
"6","VA-502","Roanoke City & County/Salem CoC",490,170.779165,18333,894.5,0.58550155457372,1629.18,193993,317,228,89,842240,146988
"6","LA-506","Slidell/Southeast Louisiana CoC",196,168.4225864,13819.33333,971.3333333,0.843456027961662,3362.91,531455,194,174,20,503869.73,0
"6","MA-507","Pittsfield/Berkshire, Franklin, Hampshire County CoC",473,167.4161791,14178.33333,962,0.814200070721571,2153.4,358666,651,406,245,420082.5,655840
"6","IL-509","Dekalb City & County CoC",94,165.4622927,10532,877,0.999240410178504,631.31,104458,100,45,55,468921.06,0
"6","NY-518","Utica/Rome/Oneida, Madison Counties CoC",201,163.3116796,14149,759,0.643720404268853,1867.27,300372,178,100,78,409093.46,186804.82
"6","CA-603","Santa Maria/Santa Barbara County CoC",824,160.6510206,17472,1653,1.1353021978022,2735.09,446527,1706,1335,371,1703462,-10346.88
