source,target,value,type
Bureau of Near Eastern Affairs,Georgetown University,6200000,grant
Bureau of Near Eastern Affairs,SIT Graduate Institute,3071099,grant
Bureau of Ocean Energy Management (BOEM) Environmental Studies (ES),University of Alaska Fairbanks,1184696.6,grant
Bureau of Ocean Energy Management (BOEM) Environmental Studies (ES),University of North Carolina Wilmington,1043497,grant
Bureau of Ocean Energy Management (BOEM) Environmental Studies (ES),University of California-Santa Cruz,884000,grant
Bureau of Ocean Energy Management (BOEM) Environmental Studies (ES),San Diego State University,299755,grant
Bureau of Ocean Energy Management (BOEM) Environmental Studies (ES),University of California-Santa Barbara,249328.35,grant
Bureau of Ocean Energy Management Renewable Energy ,University of Rhode Island,133291,grant
Bureau of Western Hemisphere Affairs (WHA) Grant Programs (including Energy and Climate Partnership for the Americas),University of Florida,275995,grant
Bus and Bus Facilities Formula Program,University of New Hampshire-Main Campus,24838,grant
Bus Testing Facility,Pennsylvania State University,4278842,grant
California Water Security and Environmental Enhancement,University of California-Merced,160000,grant
California Water Security and Environmental Enhancement,California State University-Chico,10000,grant
Cancer Biology Research,The University of Texas MD Anderson Cancer Center,17077594,research
Cancer Biology Research,University of California-San Francisco,15747933,research
Cancer Biology Research,University of California-San Diego,15574379,research
Cancer Biology Research,Harvard University,14944623,research
Cancer Biology Research,Columbia University in the City of New York,14574475,research
Cancer Cause and Prevention Research,Harvard University,29901636,research
Cancer Cause and Prevention Research,University of California-San Francisco,22116051,research
Cancer Cause and Prevention Research,Columbia University in the City of New York,19518992,research
Cancer Cause and Prevention Research,The University of Texas MD Anderson Cancer Center,18651969,research
Cancer Cause and Prevention Research,Vanderbilt University,18300044,research
Cancer Centers Support Grants,The University of Texas MD Anderson Cancer Center,20044125,research
Cancer Centers Support Grants,Johns Hopkins University,19350450,research
Cancer Centers Support Grants,Northwestern University,17724959,research
Cancer Centers Support Grants,Mayo Clinic School of Medicine,15335566,research
Cancer Centers Support Grants,University of California-San Francisco,14594613,research
Cancer Control,Mayo Clinic School of Medicine,559916,research
Cancer Control,University of Colorado Denver/Anschutz Medical Campus,388602,research
Cancer Control,Wake Forest University,249000,research
Cancer Control,University of Michigan-Ann Arbor,217388,research
Cancer Detection and Diagnosis Research,University of Michigan-Ann Arbor,15002887,research
Cancer Detection and Diagnosis Research,Stanford University,14146953,research
Cancer Detection and Diagnosis Research,Massachusetts General Hospital Dietetic Internship,14081866,research
Cancer Detection and Diagnosis Research,Johns Hopkins University,11893918,research
Cancer Detection and Diagnosis Research,The University of Texas MD Anderson Cancer Center,11611230,research
"Cancer Prevention and Control Programs for State, Territorial and Tribal Organizations",Louisiana State University,2994553,grant
"Cancer Prevention and Control Programs for State, Territorial and Tribal Organizations",University of Kentucky,1235134,grant
"Cancer Prevention and Control Programs for State, Territorial and Tribal Organizations",University of Mississippi Medical Center,750000,grant
"Cancer Prevention and Control Programs for State, Territorial and Tribal Organizations",University of Hawaii at Manoa,450100,grant
"Cancer Prevention and Control Programs for State, Territorial and Tribal Organizations",University of North Dakota,350000,grant
Cancer Research Manpower,University of North Carolina at Chapel Hill,7316573,grant
Cancer Research Manpower,Massachusetts General Hospital Dietetic Internship,5914235,grant
Cancer Research Manpower,University of California-San Francisco,5899587,grant
Cancer Research Manpower,University of Pennsylvania,5419256,grant
Cancer Research Manpower,Stanford University,5265938,grant
Cancer Treatment Research,University of California-Los Angeles,29491383,research
Cancer Treatment Research,The University of Texas MD Anderson Cancer Center,27372688,research
Cancer Treatment Research,Mayo Clinic School of Medicine,24493410,research
Cancer Treatment Research,Harvard University,23579487,research
Cancer Treatment Research,University of Pittsburgh-Pittsburgh Campus,22931407,research
Capacity Building for Non-Land Grant Colleges of Agriculture (NLGCA),Arkansas State University-Main Campus,1499801,grant
Capacity Building for Non-Land Grant Colleges of Agriculture (NLGCA),Arizona State University-Tempe,1364626,grant
Capacity Building for Non-Land Grant Colleges of Agriculture (NLGCA),Southern Illinois University-Edwardsville,1364568,grant
Capacity Building for Non-Land Grant Colleges of Agriculture (NLGCA),University of Central Missouri,895823,grant
Capacity Building for Non-Land Grant Colleges of Agriculture (NLGCA),University of Wisconsin-La Crosse,714029,grant
Capacity Building for Traditionally Underserved Populations,Northwest Indian College,499630,grant
Capitalization Grants for Clean Water State Revolving Funds,North Dakota State University-Main Campus,51000,grant
CARA Act Comprehensive Addiction and Recovery Act of 2016,East Central University,50000,grant
CARDIO-VASCULAR SERVICES,University of Texas Southwestern Medical Center,3737808.65,contract
CARDIO-VASCULAR SERVICES,University of Michigan-Ann Arbor,1136381.8,contract
CARDIO-VASCULAR SERVICES,University of Utah,1094905.45,contract
CARDIO-VASCULAR SERVICES,New York University,1080388.6,contract
CARDIO-VASCULAR SERVICES,Stanford University,1001655.99,contract
Cardiovascular Diseases Research,Harvard University,58956572,research
Cardiovascular Diseases Research,Massachusetts General Hospital Dietetic Internship,54250774,research
Cardiovascular Diseases Research,New York University,45919215,research
Cardiovascular Diseases Research,Icahn School of Medicine at Mount Sinai,33802557,research
Cardiovascular Diseases Research,Johns Hopkins University,33052401,research
Career and Technical Education - Grants to Native Americans and Alaska Natives,Salish Kootenai College,459557,grant
Career and Technical Education - Grants to Native Americans and Alaska Natives,Aaniiih Nakoda College,459439,grant
Career and Technical Education - Grants to Native Americans and Alaska Natives,Turtle Mountain Community College,459197,grant
Career and Technical Education - Grants to Native Americans and Alaska Natives,Sitting Bull College,457664,grant
Career and Technical Education - Grants to Native Americans and Alaska Natives,Sinte Gleska University,455668,grant
Career and Technical Education -- Basic Grants to States,Baton Rouge Community College,21994040,grant
Career and Technical Education -- Basic Grants to States,Madison Area Technical College,21461759,grant
Career and Technical Education -- National Programs,Portland Community College,408108,grant
CDC Undergraduate Public Health Scholars Program (CUPS): A Public Health Experience to Expose Undergraduates Interested in Minority Health to Public Health and the Public Health Professions,Morehouse College,832944,grant
CDC Undergraduate Public Health Scholars Program (CUPS): A Public Health Experience to Expose Undergraduates Interested in Minority Health to Public Health and the Public Health Professions,Columbia University in the City of New York,646373,grant
CDC Undergraduate Public Health Scholars Program (CUPS): A Public Health Experience to Expose Undergraduates Interested in Minority Health to Public Health and the Public Health Professions,University of Michigan-Ann Arbor,641343,grant
CDC Undergraduate Public Health Scholars Program (CUPS): A Public Health Experience to Expose Undergraduates Interested in Minority Health to Public Health and the Public Health Professions,University of California-Los Angeles,539111,grant
Center for Sponsored Coastal Ocean Research Coastal Ocean Program,College of William and Mary,1572306,grant
Center for Sponsored Coastal Ocean Research Coastal Ocean Program,Lehigh University,798126,grant
Center for Sponsored Coastal Ocean Research Coastal Ocean Program,University of Maryland Center for Environmental Science,769100,grant
Center for Sponsored Coastal Ocean Research Coastal Ocean Program,Ohio State University,708566,grant
Center for Sponsored Coastal Ocean Research Coastal Ocean Program,University of Washington,649189,grant
Centers for Academic Excellence,Rutgers University-New Brunswick,2000000,research
Centers for Academic Excellence,The University of Texas at San Antonio,2000000,research
Centers for Academic Excellence,University of Alabama in Huntsville,2000000,research
Centers for Academic Excellence,University of New Mexico-Main Campus,2000000,research
Centers for Academic Excellence,Florida International University,1996720,research
Centers for Disease Control and Prevention Investigations and Technical Assistance ,Case Western Reserve University,3176799,grant
Centers for Disease Control and Prevention Investigations and Technical Assistance ,Johns Hopkins University,1960699,grant
Centers for Disease Control and Prevention Investigations and Technical Assistance ,University of North Carolina at Chapel Hill,1751404,grant
Centers for Disease Control and Prevention Investigations and Technical Assistance ,University of California-Los Angeles,1343801,grant
Centers for Disease Control and Prevention Investigations and Technical Assistance ,University of Michigan-Ann Arbor,956812,grant
Centers for Homeland Security,Texas A & M University-College Station,3756072.91,research
Centers for Homeland Security,University of Illinois at Urbana-Champaign,3500000,research
