"source","target","value"
"California Institute of Technology","National Institutes of Health",77150706
"California Institute of Technology","Department of Energy",16586398.53
"California Institute of the Arts","National Endowment for the Arts",40000
"California Lutheran University","Department of Education",4196520.65
"California Polytechnic State University-San Luis Obispo","National Science Foundation",5584566
"California Polytechnic State University-San Luis Obispo","Department of Education",2392980.63
"California Polytechnic State University-San Luis Obispo","National Institutes of Health",1352184
"California Polytechnic State University-San Luis Obispo","Bureau of Reclamation",1198459
"California Polytechnic State University-San Luis Obispo","Department of Energy",681502.5
"California State Polytechnic University-Pomona","National Science Foundation",7250708
"California State Polytechnic University-Pomona","Department of Education",4737938.24
"California State Polytechnic University-Pomona","National Institutes of Health",655131
"California State Polytechnic University-Pomona","National Institute of Food and Agriculture",146363.73
"California State Polytechnic University-Pomona","Bureau of Reclamation",65673.15
"California State University Maritime Academy","Maritime Administration",443296.74
"California State University Maritime Academy","National Science Foundation",115289
"California State University Maritime Academy","Department of the Navy",9188
"California State University-Bakersfield","Department of Education",5195615.36
"California State University-Bakersfield","National Science Foundation",1135032
"California State University-Bakersfield","National Institutes of Health",356689
"California State University-Bakersfield","Offices, Boards and Divisions",299381
"California State University-Bakersfield","National Institute of Food and Agriculture",148844
"California State University-Channel Islands","Department of Education",2621528.56
"California State University-Channel Islands","National Science Foundation",191606
"California State University-Chico","Department of Education",6443324.8
"California State University-Chico","Bureau of Reclamation",3410000
"California State University-Chico","National Science Foundation",910404
"California State University-Chico","Forest Service",722909
"California State University-Chico","Economic Development Administration",652666
"California State University-Dominguez Hills","Department of Education",8190472
"California State University-Dominguez Hills","National Institutes of Health",877694
"California State University-Dominguez Hills","National Science Foundation",243836
"California State University-Dominguez Hills","National Historical Publications and Records Commission",238520
"California State University-East Bay","Department of Education",9213216
"California State University-East Bay","National Science Foundation",2352867
"California State University-East Bay","Centers for Disease Control and Prevention",409986
"California State University-East Bay","U.S. Geological Survey",127220
"California State University-Fresno","Department of Education",5326849
"California State University-Fresno","National Science Foundation",1665085
"California State University-Fresno","National Institutes of Health",973636
"California State University-Fresno","Health Resources and Services Administration",649408
"California State University-Fresno","National Aeronautics and Space Administration",325000
"California State University-Fullerton","Department of Education",6483054.05
"California State University-Fullerton","National Science Foundation",3514754
"California State University-Fullerton","Small Business Administration",2513810.99
"California State University-Fullerton","Health Resources and Services Administration",2021913
"California State University-Fullerton","National Institutes of Health",1817989
"California State University-Long Beach","National Institutes of Health",9445408
"California State University-Long Beach","Department of Education",8888735.06
"California State University-Long Beach","National Science Foundation",933918
"California State University-Long Beach","Department of the Navy",386039
"California State University-Long Beach","Office of Assistant Secretary for Health",349999
"California State University-Los Angeles","Department of Education",5256721
"California State University-Los Angeles","National Science Foundation",3569494
"California State University-Los Angeles","National Institutes of Health",3450285
"California State University-Los Angeles","National Aeronautics and Space Administration",896387.63
"California State University-Los Angeles","Office of Justice Programs",830884
"California State University-Monterey Bay","Department of Education",8866545
"California State University-Monterey Bay","National Science Foundation",5605193
"California State University-Monterey Bay","Health Resources and Services Administration",421540
"California State University-Monterey Bay","National Institutes of Health",205955
"California State University-Monterey Bay","Substance Abuse and Mental Health Services Administration",85611
"California State University-Northridge","National Institutes of Health",8616958
"California State University-Northridge","National Science Foundation",5979453
"California State University-Northridge","Department of Education",4683035.64
"California State University-Northridge","Department of the Army",921584
"California State University-Northridge","National Aeronautics and Space Administration",432315.59
"California State University-Sacramento","National Science Foundation",5520770
"California State University-Sacramento","Department of Education",4801193
"California State University-Sacramento","U.S. Geological Survey",3709708.92
"California State University-Sacramento","National Institutes of Health",383994
"California State University-Sacramento","U.S. Fish and Wildlife Service",293000
"California State University-San Bernardino","Department of Education",7276650
"California State University-San Bernardino","National Science Foundation",4961848
"California State University-San Bernardino","National Institute of Food and Agriculture",499958.95
"California State University-San Bernardino","National Institute of Standards and Technology",426347.29
"California State University-San Bernardino","Small Business Administration",300000
"California State University-San Marcos","Department of Education",4607220.49
"California State University-San Marcos","National Institutes of Health",1698167
"California State University-San Marcos","National Science Foundation",1696305
"California State University-San Marcos","Department of the Navy",1000000
"California State University-San Marcos","Office of Assistant Secretary for Health",425000
"California State University-Stanislaus","National Science Foundation",2208240
"California State University-Stanislaus","Department of Education",1773832.71
"California State University-Stanislaus","Bureau of Land Management",50000
"California State University-Stanislaus","U.S. Fish and Wildlife Service",43490
"California State University-Stanislaus","Health Resources and Services Administration",16380
"California University of Pennsylvania","Department of Education",1302954
"California University of Pennsylvania","Health Resources and Services Administration",478012
"California University of Pennsylvania","Defense Logistics Agency",233019
"Calvin College","National Science Foundation",1173277
"Calvin College","Department of the Army",290762
"Calvin College","U.S. Fish and Wildlife Service",210000
"Cambridge College","Department of Education",449395
"Camden County College","Department of the Navy",5900
"Cameron University","Department of Education",1151899.45
"Campbell University","National Science Foundation",874493
"Campbell University","Department of the Navy",693258.78
"Campbell University","National Institutes of Health",446625
"Campbell University","Health Resources and Services Administration",331477
"Campbellsville University","Department of Education",448109
"Canada College","Department of Education",3034495
"Canadian Valley Technology Center","Federal Prison System / Bureau of Prisons",69163.21
"Canisius College","Department of Education",668158
"Canisius College","National Institutes of Health",202183
"Canisius College","Small Business Administration",150000
"Cankdeska Cikana Community College","Administration for Children and Families",3883569
"Cankdeska Cikana Community College","Department of Education",2214207.74
"Cankdeska Cikana Community College","Bureau of Indian Affairs and Bureau of Indian Education",1154214
"Cankdeska Cikana Community College","National Institute of Food and Agriculture",226147
"Cankdeska Cikana Community College","Rural Housing Service",129000
"Cape Cod Community College","Department of Education",758252
