"source","target","value"
"Centralia College","Department of Education",1090891
"Century College","Department of Education",1994514.71
"Century College","Substance Abuse and Mental Health Services Administration",125000
"Chadron State College","Department of Education",539454
"Chaffey College","Department of Education",1879504
"Chaminade University of Honolulu","Department of Education",2745532
"Chaminade University of Honolulu","National Science Foundation",1933125
"Chaminade University of Honolulu","National Institutes of Health",529610
"Chapman University","National Institutes of Health",4224574
"Chapman University","National Science Foundation",1544653
"Chapman University","Department of the Navy",393467
"Chapman University","National Aeronautics and Space Administration",270260
"Chapman University","Internal Revenue Service",100000
"Charles H McCann Technical School","Department of Education",35732
"Charles R Drew University of Medicine and Science","National Institutes of Health",8796992
"Charles R Drew University of Medicine and Science","Department of Education",2417030
"Charles R Drew University of Medicine and Science","Defense Health Agency",1532691
"Charles R Drew University of Medicine and Science","Health Resources and Services Administration",1038427
"Charleston Southern University","Department of Education",494031
"Chatham University","Health Resources and Services Administration",469698
"Chatham University","Small Business Administration",150000
"Chatham University","National Science Foundation",125157
"Chatham University","National Endowment for the Humanities",193
"Chattanooga State Community College","Department of Education",606656
"Chattanooga State Community College","Nuclear Regulatory Commission",69913.94
"Chemeketa Community College","Department of Education",2733570.45
"Chemeketa Community College","National Science Foundation",224924
"Chesapeake College","Department of Education",595270
"Cheyney University of Pennsylvania","Department of Education",2349337
"Chicago State University","Administration for Children and Families",2436636
"Chicago State University","Department of Education",2094764.66
"Chicago State University","National Science Foundation",329263
"Chicago State University","National Institute of Standards and Technology",8919
"Chief Dull Knife College","Bureau of Indian Affairs and Bureau of Indian Education",1952117
"Chief Dull Knife College","Department of Education",1339618
"Chief Dull Knife College","National Institute of Food and Agriculture",226147
"Chief Dull Knife College","Rural Housing Service",129000
"Chief Dull Knife College","National Science Foundation",82804
