report_date,today
2016-04-22,353
2016-04-25,93
2016-04-28,151
2016-04-29,146
2016-05-02,73
2016-05-06,182
2016-05-09,62
2016-05-10,202
2016-05-13,195
2016-05-16,149
2016-05-17,88
2016-05-20,349
2016-05-23,621
2016-05-24,71
2016-05-25,135
2016-05-27,99
2016-05-31,122
2016-06-01,167
2016-06-02,60
2016-06-10,229
2016-06-13,177
2016-06-14,99
2016-06-15,162
2016-06-16,493
2016-06-17,102
2016-06-20,268
2016-06-21,198
2016-06-22,55
2016-06-23,64
2016-06-24,208
2016-06-29,146
2016-06-30,78
2016-06-30,78
2016-07-01,118
2016-07-05,101
2016-07-08,91
2016-07-12,160
2016-07-13,95
2016-07-14,90
2016-07-15,145
2016-07-18,302
2016-07-19,197
2016-07-20,171
2016-07-21,545
2016-07-22,232
2016-07-25,103
2016-07-28,121
2016-08-01,150
2016-08-02,75
2016-08-05,212
2016-08-09,61
2016-08-10,78
2016-08-12,90
2016-08-15,74
2016-08-16,78
2016-08-17,113
2016-08-18,169
2016-08-19,120
2016-08-22,718
2016-08-23,187
2016-08-24,250
2016-08-25,137
2016-08-26,415
2016-08-31,282
2016-09-01,223
2016-09-06,53
2016-09-07,55
2016-09-08,206
2016-09-09,910
2016-09-12,212
2016-09-13,99
2016-09-14,234
2016-09-15,100
2016-09-16,231
2016-09-19,89
2016-09-20,217
2016-09-21,98
2016-09-22,471
2016-09-23,415
2016-09-26,66
2016-09-29,198
2016-09-30,114
2016-10-03,73
2016-10-06,95
2016-10-07,218
2016-10-11,87
2016-10-13,105
2016-10-14,146
2016-10-17,243
2016-10-18,111
2016-10-20,758
2016-10-21,231
2016-10-24,73
2016-10-25,150
2016-10-28,100
2016-10-31,103
2016-11-01,197
2016-11-03,59
2016-11-08,51
2016-11-09,64
2016-11-10,233
2016-11-14,129
2016-11-15,225
2016-11-16,183
2016-11-18,122
2016-11-21,798
2016-11-22,194
2016-11-23,184
2016-11-30,159
2016-12-01,207
2016-12-02,55
2016-12-05,73
2016-12-08,76
2016-12-09,132
2016-12-13,105
2016-12-14,68
2016-12-15,299
2016-12-16,183
2016-12-19,154
2016-12-20,255
2016-12-21,337
2016-12-22,696
2016-12-23,298
2016-12-27,82
2016-12-28,101
2016-12-29,369
2016-12-30,194
2017-01-03,124
2017-01-04,97
2017-01-05,59
2017-01-06,289
2017-01-09,182
2017-01-10,194
2017-01-11,197
2017-01-12,185
2017-01-13,442
2017-01-17,1289
2017-01-18,209
2017-01-19,63
2017-01-20,472
2017-01-23,646
2017-01-24,231
2017-01-25,178
2017-01-26,96
2017-01-27,188
2017-01-30,62
2017-01-31,111
2017-02-01,170
2017-02-03,108
2017-02-10,207
2017-02-13,82
2017-02-15,158
2017-02-16,114
2017-02-17,222
2017-02-21,656
2017-02-22,269
2017-02-23,215
2017-02-24,278
2017-02-27,52
2017-02-28,164
2017-03-01,179
2017-03-02,125
2017-03-07,51
2017-03-10,213
2017-03-14,79
2017-03-15,163
2017-03-16,62
2017-03-20,273
2017-03-21,219
2017-03-22,56
2017-03-23,681
2017-03-24,211
2017-03-29,282
2017-03-30,173
2017-03-31,134
2017-04-03,178
2017-04-07,179
2017-04-10,56
2017-04-11,62
2017-04-13,66
2017-04-14,109
2017-04-17,115
2017-04-18,218
2017-04-19,171
2017-04-21,234
2017-04-24,78
2017-04-25,105
2017-04-26,54
2017-04-27,151
2017-04-28,172
2017-05-01,254
2017-05-05,199
2017-05-10,93
2017-05-15,195
2017-05-16,243
2017-05-17,61
2017-05-19,320
2017-05-22,649
2017-05-23,172
2017-05-24,66
2017-05-25,132
2017-05-30,81
2017-05-31,102
2017-06-01,272
2017-06-13,65
2017-06-14,82
2017-06-15,135
2017-06-16,84
2017-06-19,505
2017-06-20,414
2017-06-21,386
2017-06-22,157
2017-06-23,189
2017-06-26,73
2017-06-30,159
2017-07-03,215
2017-07-10,127
2017-07-11,210
2017-07-12,93
2017-07-13,159
2017-07-14,60
2017-07-17,116
2017-07-19,92
2017-07-20,874
2017-07-21,328
2017-07-24,223
2017-07-25,153
2017-07-28,178
2017-07-31,113
2017-08-01,169
2017-08-03,69
2017-08-04,69
2017-08-09,88
2017-08-10,80
2017-08-11,197
2017-08-15,114
2017-08-18,276
2017-08-21,850
2017-08-22,76
2017-08-23,675
2017-08-24,667
2017-08-25,618
2017-08-28,727
2017-08-29,846
2017-08-30,171
2017-08-31,155
2017-09-01,306
2017-09-08,152
2017-09-14,227
2017-09-15,149
2017-09-18,112
2017-09-19,83
2017-09-20,502
2017-09-21,701
2017-09-22,171
2017-09-25,119
2017-09-28,236
2017-09-29,232
2017-10-02,92
2017-10-05,60
2017-10-06,185
2017-10-10,232
2017-10-12,70
2017-10-13,78
2017-10-16,138
2017-10-17,68
2017-10-19,219
2017-10-20,466
2017-10-23,576
2017-10-24,103
2017-10-25,165
2017-10-26,109
2017-10-27,62
2017-10-31,148
2017-11-01,213
2017-11-03,61
2017-11-07,63
2017-11-09,219
2017-11-10,66
2017-11-13,51
2017-11-14,100
2017-11-15,325
2017-11-17,187
2017-11-20,555
2017-11-21,260
2017-11-22,686
2017-11-24,70
2017-11-29,137
2017-11-30,147
2017-12-01,221
2017-12-07,84
2017-12-08,58
2017-12-15,93
2017-12-18,170
2017-12-19,349
2017-12-20,332
2017-12-21,775
2017-12-22,137
2017-12-28,178
2017-12-29,314
2018-01-02,125
2018-01-05,158
2018-01-09,73
2018-01-10,68
2018-01-11,57
2018-01-12,59
2018-01-16,102
2018-01-17,95
2018-01-18,167
2018-01-19,374
2018-01-22,700
2018-01-23,110
2018-01-24,334
2018-01-25,122
2018-01-31,218
2018-02-01,208
2018-02-02,61
2018-02-05,59
2018-02-09,218
2018-02-13,76
2018-02-14,84
2018-02-16,364
2018-02-20,283
2018-02-21,185
2018-02-22,190
2018-02-23,773
2018-02-26,150
2018-03-01,268
2018-03-09,278
2018-03-15,108
2018-03-16,186
2018-03-19,242
2018-03-20,282
2018-03-21,158
2018-03-22,456
2018-03-23,234
2018-03-28,137
2018-03-29,223
2018-03-30,64
2018-04-02,137
2018-04-06,179
2018-04-12,87
2018-04-13,66
2018-04-16,147
2018-04-17,123
2018-04-19,283
2018-04-20,327
2018-04-23,504
2018-04-24,326
2018-04-25,197
2018-04-27,113
2018-04-30,109
2018-05-01,223
2018-05-03,71
2018-05-11,244
2018-05-15,158
2018-05-18,392
